match_date,Venue,GF,GA,xG,xGA
2022-08-05,Away,2,0,1.0,1.2
2022-08-13,Home,4,2,2.7,0.5
2022-08-20,Away,3,0,1.3,0.3
2022-08-27,Home,2,1,2.6,0.8
2022-08-31,Home,2,1,2.4,0.4
2022-09-04,Away,1,3,1.3,1.5
2022-09-18,Away,3,0,1.5,0.5
2022-10-01,Home,3,1,2.4,1.6
2022-10-09,Home,3,2,2.7,1.1
2022-10-16,Away,1,0,0.5,1.8
2022-10-23,Away,1,1,1.0,0.7
2022-10-30,Home,5,0,2.3,0.4
2022-11-06,Away,1,0,2.1,0.3
2022-11-12,Away,2,0,2.1,0.7
2022-12-26,Home,3,1,2.1,1.0
2022-12-31,Away,4,2,2.9,1.2
2023-01-03,Home,0,0,1.1,1.0
2023-01-15,Away,2,0,1.8,1.6
2023-01-22,Home,3,2,3.1,0.4
2023-02-04,Away,0,1,0.9,1.7
2023-02-11,Home,1,1,1.6,2.0
2023-02-15,Home,1,3,1.6,1.8
2023-02-18,Away,4,2,3.2,0.5
2023-02-25,Away,1,0,0.7,0.0
2023-03-01,Home,4,0,2.6,1.2
2023-03-04,Home,3,2,2.1,1.3
2023-03-12,Away,3,0,2.3,0.8
2023-03-19,Home,4,1,1.6,0.8
2023-04-01,Home,4,1,3.8,0.7
2023-04-09,Away,2,2,1.4,3.9
2023-04-16,Away,2,2,2.7,1.8
2023-04-21,Home,3,3,2.5,1.3
2023-04-26,Away,1,4,0.5,2.5
2023-05-02,Home,3,1,1.7,0.8
2023-05-07,Away,2,0,1.3,1.3
2023-05-14,Home,0,3,0.9,1.7
2023-05-20,Away,0,1,0.6,0.6
2023-05-28,Home,5,0,2.8,0.5
