match_date,Venue,GF,GA,xG,xGA
2022-08-06,Away,1,0,1.5,0.7
2022-08-14,Home,2,2,1.6,1.0
2022-08-21,Away,0,3,0.9,2.1
2022-08-27,Home,2,1,1.8,2.5
2022-08-30,Away,1,2,1.1,1.1
2022-09-03,Home,2,1,0.9,1.1
2022-10-01,Away,2,1,1.1,0.4
2022-10-08,Home,3,0,1.9,1.1
2022-10-16,Away,2,0,0.9,1.8
2022-10-19,Away,0,0,0.9,1.3
2022-10-22,Home,1,1,1.1,0.8
2022-10-29,Away,1,4,1.4,2.4
2022-11-06,Home,0,1,0.3,2.1
2022-11-12,Away,0,1,0.3,1.0
2022-12-27,Home,2,0,1.8,0.5
2023-01-01,Away,1,1,0.9,1.4
2023-01-05,Home,0,1,0.4,2.0
2023-01-12,Away,1,2,2.1,1.0
2023-01-15,Home,1,0,1.5,0.7
2023-01-21,Away,0,0,1.6,1.4
2023-02-03,Home,0,0,1.3,0.6
2023-02-11,Away,1,1,1.1,1.3
2023-02-18,Home,0,1,1.6,0.6
2023-02-26,Away,0,2,0.4,0.8
2023-03-04,Home,1,0,1.5,1.0
2023-03-11,Away,3,1,1.6,2.4
2023-03-18,Home,2,2,2.3,1.2
2023-04-01,Home,0,2,2.1,0.9
2023-04-04,Home,0,0,2.2,0.3
2023-04-08,Away,0,1,1.1,0.6
2023-04-15,Home,1,2,0.5,2.9
2023-04-26,Home,0,2,1.3,1.1
2023-05-02,Away,1,3,0.8,1.7
2023-05-06,Away,3,1,1.3,1.2
2023-05-13,Home,2,2,1.2,1.3
2023-05-21,Away,0,1,1.2,1.2
2023-05-25,Away,1,4,1.9,5.2
2023-05-28,Home,1,1,2.2,1.7
