match_date,Venue,GF,GA,xG,xGA
2022-08-07,Home,1,2,1.4,1.5
2022-08-13,Away,0,4,0.9,1.6
2022-08-22,Home,2,1,1.8,1.3
2022-08-27,Away,1,0,1.1,1.4
2022-09-01,Away,1,0,1.5,0.7
2022-09-04,Home,3,1,1.5,1.3
2022-10-02,Away,3,6,1.7,3.2
2022-10-09,Away,2,1,1.4,0.6
2022-10-16,Home,0,0,0.8,0.8
2022-10-19,Home,2,0,1.5,0.6
2022-10-22,Away,1,1,0.8,1.1
2022-10-30,Home,1,0,1.2,1.1
2022-11-06,Away,1,3,0.5,0.6
2022-11-13,Away,2,1,2.5,1.4
2022-12-27,Home,3,0,2.4,0.7
2022-12-31,Away,1,0,2.0,0.7
2023-01-03,Home,3,0,2.2,0.6
2023-01-14,Home,2,1,1.7,0.6
2023-01-18,Away,1,1,2.1,0.5
2023-01-22,Away,2,3,0.4,3.1
2023-02-04,Home,2,1,2.0,1.3
2023-02-08,Home,2,2,2.0,0.6
2023-02-12,Away,2,0,1.1,1.8
2023-02-19,Home,3,0,4.4,1.6
2023-03-05,Away,0,7,0.8,2.8
2023-03-12,Home,0,0,0.8,1.0
2023-04-02,Away,0,2,0.4,3.7
2023-04-05,Home,1,0,1.2,0.7
2023-04-08,Home,2,0,3.4,1.0
2023-04-16,Away,2,0,3.5,0.7
2023-04-27,Away,2,2,2.0,2.5
2023-04-30,Home,1,0,1.2,0.6
2023-05-04,Away,0,1,1.4,2.3
2023-05-07,Away,0,1,1.2,1.3
2023-05-13,Home,2,0,3.2,0.3
2023-05-20,Away,1,0,1.4,1.0
2023-05-25,Home,4,1,5.2,1.9
2023-05-28,Home,2,1,2.9,1.8
