match_date,Venue,GF,GA,xG,xGA
2022-08-06,Away,0,2,0.3,1.7
2022-08-14,Home,1,0,1.3,2.1
2022-08-20,Away,1,1,1.0,1.5
2022-08-28,Home,0,2,0.9,2.4
2022-08-31,Away,0,6,0.7,3.3
2022-09-03,Home,2,3,1.9,0.8
2022-09-16,Home,2,3,1.4,0.9
2022-10-03,Away,0,4,1.1,1.3
2022-10-10,Home,1,1,0.3,0.7
2022-10-15,Away,0,1,1.5,1.3
2022-10-18,Away,0,0,0.1,1.7
2022-10-22,Home,1,0,1.9,1.6
2022-10-30,Away,0,5,0.4,2.3
2022-11-05,Home,2,2,1.5,1.5
2022-11-12,Home,1,0,1.1,1.2
2022-12-27,Away,0,3,0.7,2.4
2023-01-01,Home,1,1,1.4,0.9
2023-01-04,Away,1,0,1.4,0.5
2023-01-14,Home,2,0,2.4,1.0
2023-01-21,Away,1,1,1.9,1.4
2023-02-05,Home,1,0,0.4,0.9
2023-02-11,Away,0,2,0.7,1.5
2023-02-18,Home,1,1,0.9,2.4
2023-02-25,Away,0,4,0.4,2.7
2023-03-05,Home,2,2,0.8,1.7
2023-03-11,Away,1,3,1.5,2.0
2023-03-17,Home,1,2,0.4,2.4
2023-04-01,Home,1,1,1.3,0.5
2023-04-04,Away,1,2,0.8,1.8
2023-04-08,Away,0,2,0.2,1.3
2023-04-16,Home,0,2,0.7,3.5
2023-04-22,Away,2,3,0.9,2.8
2023-04-26,Home,3,1,2.4,2.3
2023-04-29,Away,1,2,0.7,1.6
2023-05-08,Home,4,3,1.8,3.1
2023-05-13,Away,2,2,1.3,1.2
2023-05-20,Home,1,0,0.6,0.6
2023-05-28,Away,1,1,0.5,1.4
