match_date,Venue,GF,GA,xG,xGA
2022-08-07,Away,2,2,0.8,0.6
2022-08-13,Home,4,0,1.6,0.9
2022-08-20,Away,2,3,1.8,2.4
2022-08-27,Home,1,1,2.1,1.1
2022-08-30,Away,1,1,1.4,1.0
2022-09-03,Home,5,2,2.3,1.7
2022-09-18,Home,0,3,0.5,1.5
2022-10-01,Away,0,0,0.9,0.4
2022-10-08,Away,1,5,1.2,1.5
2022-10-14,Home,2,0,1.5,1.9
2022-10-19,Home,0,0,1.3,0.9
2022-10-23,Away,0,4,0.9,2.8
2022-10-29,Home,1,1,1.4,0.6
2022-11-05,Away,2,2,1.5,1.5
2022-11-12,Away,2,1,1.3,1.6
2022-12-26,Home,2,2,2.0,1.1
2022-12-30,Away,2,0,1.6,1.3
2023-01-02,Home,3,1,1.7,2.0
2023-01-14,Home,2,0,1.4,0.6
2023-01-22,Away,0,0,0.4,0.5
2023-02-04,Home,3,0,2.2,0.7
2023-02-11,Away,1,1,2.0,1.6
2023-02-18,Home,1,1,0.9,1.1
2023-03-06,Home,3,2,2.2,1.4
2023-03-11,Away,0,1,2.0,1.0
2023-03-15,Away,2,0,1.9,0.5
2023-03-18,Home,1,1,0.6,1.3
2023-04-01,Away,3,3,1.6,4.2
2023-04-05,Away,0,1,0.7,1.2
2023-04-08,Home,1,2,2.6,1.3
2023-04-15,Away,0,2,1.1,0.8
2023-04-22,Home,1,1,2.7,1.5
2023-04-26,Away,2,0,1.1,1.3
2023-04-29,Home,2,1,1.6,0.7
2023-05-06,Away,0,1,0.2,2.2
2023-05-14,Home,2,0,3.4,0.2
2023-05-20,Away,3,1,1.3,1.8
2023-05-28,Home,1,0,1.3,1.6
