match_date,Venue,GF,GA,xG,xGA
2022-08-06,Home,2,0,0.6,0.7
2022-08-13,Away,0,4,0.1,1.7
2022-08-20,Home,0,3,0.3,1.3
2022-08-27,Away,0,9,0.3,3.3
2022-08-31,Home,0,0,0.4,1.5
2022-09-03,Away,3,2,0.8,1.9
2022-09-17,Away,1,1,0.7,1.9
2022-10-01,Home,0,0,0.4,0.9
2022-10-08,Home,2,1,1.1,1.0
2022-10-15,Away,2,2,1.0,2.1
2022-10-19,Home,0,1,1.0,1.0
2022-10-24,Away,0,2,0.4,1.9
2022-10-29,Home,2,3,0.5,2.0
2022-11-05,Away,3,4,1.5,2.2
2022-11-12,Home,3,0,2.4,0.8
2022-12-27,Away,0,2,0.5,1.8
2022-12-31,Home,0,2,0.6,1.6
2023-01-03,Away,0,3,0.6,2.2
2023-01-14,Away,0,2,0.6,1.4
2023-01-21,Home,1,1,1.4,1.9
2023-02-04,Away,0,1,1.1,2.2
2023-02-11,Home,1,1,1.5,1.3
2023-02-18,Away,1,0,1.1,1.3
2023-02-25,Home,1,4,1.0,2.4
2023-03-04,Away,2,3,1.3,2.1
2023-03-11,Home,1,0,0.9,1.7
2023-03-18,Away,0,3,1.3,3.5
2023-04-01,Home,2,1,2.6,0.8
2023-04-04,Home,0,2,1.7,2.7
2023-04-08,Away,1,0,2.0,0.7
2023-04-15,Away,3,2,1.3,2.2
2023-04-23,Home,0,4,1.5,2.4
2023-04-27,Away,1,0,0.9,0.5
2023-04-30,Home,4,1,1.9,1.6
2023-05-06,Home,1,3,1.2,1.3
2023-05-13,Away,0,2,0.3,1.5
2023-05-20,Home,0,1,1.0,1.4
2023-05-28,Away,0,1,0.5,1.0
