match_date,Venue,GF,GA,xG,xGA
2020-09-12,Home,0,2,1.0,1.6
2020-09-19,Away,1,2,2.0,1.1
2020-09-27,Home,4,0,2.4,0.5
2020-10-04,Away,3,0,2.0,0.6
2020-10-18,Away,3,3,1.9,1.7
2020-10-24,Home,1,1,0.3,1.0
2020-10-31,Away,1,2,0.3,1.7
2020-11-07,Home,1,0,1.3,1.7
2020-11-22,Away,1,0,2.1,0.9
2020-11-30,Home,2,1,0.4,2.5
2020-12-05,Home,1,3,2.0,1.7
2020-12-11,Away,2,1,1.3,1.6
2020-12-16,Home,1,1,0.4,1.1
2020-12-21,Away,0,3,0.4,2.0
2020-12-27,Home,2,2,1.3,1.1
2020-12-29,Away,0,0,1.2,0.6
2021-01-01,Away,1,0,1.3,0.4
2021-01-16,Home,1,0,1.7,0.5
2021-01-19,Home,2,1,2.0,0.5
2021-01-26,Away,3,2,2.8,0.7
2021-01-31,Home,1,3,0.8,2.0
2021-02-03,Away,3,1,1.7,0.7
2021-02-06,Away,0,0,1.0,1.5
2021-02-15,Home,3,0,1.9,0.7
2021-02-21,Home,2,1,1.1,1.1
2021-02-27,Away,1,2,1.5,0.5
2021-03-08,Home,2,0,1.8,1.4
2021-03-14,Away,0,1,0.6,1.5
2021-03-21,Home,3,3,2.4,1.4
2021-04-05,Away,3,2,1.3,2.1
2021-04-11,Home,3,2,0.8,0.9
2021-04-17,Away,2,3,1.9,2.2
2021-04-24,Home,0,1,0.4,2.5
2021-05-03,Away,2,1,2.3,2.0
2021-05-09,Home,0,1,1.3,1.5
2021-05-15,Away,1,1,1.7,0.8
2021-05-19,Away,3,1,3.4,1.1
2021-05-23,Home,3,0,1.3,1.5
