match_date,Venue,GF,GA,xG,xGA
2020-09-12,Home,1,0,1.1,0.9
2020-09-19,Away,3,1,1.6,1.2
2020-09-26,Home,1,2,0.4,1.9
2020-10-03,Away,0,4,0.2,2.7
2020-10-18,Home,1,1,0.8,1.7
2020-10-24,Away,2,1,2.5,1.1
2020-10-30,Away,0,2,0.7,1.3
2020-11-07,Home,4,1,0.9,0.8
2020-11-23,Away,0,1,1.5,1.5
2020-11-27,Home,0,2,0.6,1.3
2020-12-06,Away,5,1,1.6,0.7
2020-12-13,Home,1,1,1.6,0.9
2020-12-16,Away,1,1,1.1,0.4
2020-12-19,Home,0,7,0.3,2.5
2020-12-26,Away,0,3,0.9,3.9
2020-12-28,Home,1,1,0.5,1.9
2021-01-02,Home,2,0,0.6,0.4
2021-01-14,Away,0,0,0.8,0.4
2021-01-17,Away,0,4,0.1,0.7
2021-01-26,Home,2,3,0.7,2.8
2021-01-30,Home,1,0,1.4,0.4
2021-02-02,Away,2,1,0.7,1.9
2021-02-08,Away,0,2,0.4,1.9
2021-02-13,Home,0,3,0.5,1.4
2021-02-22,Away,2,1,0.2,2.4
2021-02-28,Home,0,0,0.1,1.4
2021-03-03,Home,0,0,0.9,0.9
2021-03-07,Away,1,4,0.5,2.7
2021-03-13,Home,1,0,1.2,0.8
2021-04-05,Away,1,1,0.7,2.5
2021-04-10,Home,1,4,0.4,3.1
2021-04-26,Away,1,2,0.7,1.5
2021-05-01,Home,0,2,0.9,1.7
2021-05-08,Away,2,0,2.0,0.7
2021-05-11,Away,1,3,1.5,1.2
2021-05-16,Home,3,2,1.9,1.4
2021-05-19,Home,1,3,1.0,1.8
2021-05-23,Away,0,2,0.6,1.6
