match_date,Venue,GF,GA,xG,xGA
2020-09-14,Home,0,2,1.0,1.4
2020-09-21,Away,0,1,0.9,1.0
2020-09-27,Home,0,1,1.4,1.2
2020-10-04,Away,1,2,0.2,0.6
2020-10-18,Home,1,1,1.7,1.5
2020-10-24,Away,1,2,1.6,2.3
2020-10-31,Home,0,1,0.5,1.6
2020-11-07,Away,1,4,0.4,2.2
2020-11-22,Home,0,1,0.9,2.1
2020-11-28,Away,0,1,2.9,1.2
2020-12-06,Home,1,2,0.2,1.4
2020-12-13,Away,0,3,0.3,2.0
2020-12-17,Home,2,3,1.5,1.9
2020-12-20,Away,1,1,0.5,2.8
2020-12-26,Home,0,1,1.4,0.7
2020-12-29,Away,0,1,0.7,1.0
2021-01-02,Away,0,2,0.4,0.6
2021-01-12,Home,1,0,2.1,0.6
2021-01-17,Home,1,3,0.9,1.0
2021-01-27,Away,2,1,1.0,1.1
2021-01-30,Away,0,1,0.2,1.5
2021-02-02,Home,2,1,1.3,1.6
2021-02-07,Home,1,2,0.6,1.6
2021-02-15,Away,0,3,0.7,1.9
2021-02-20,Away,0,1,0.9,1.2
2021-02-28,Home,0,2,0.7,2.7
2021-03-03,Home,1,0,0.9,2.3
2021-03-06,Home,0,2,0.7,1.9
2021-03-14,Away,0,5,0.1,4.0
2021-04-03,Away,1,2,1.1,2.4
2021-04-11,Home,0,3,0.3,1.7
2021-04-17,Away,0,1,0.5,1.1
2021-04-24,Home,1,0,0.7,2.0
2021-05-02,Away,0,4,0.5,2.2
2021-05-08,Home,0,2,0.7,2.0
2021-05-16,Away,1,0,1.2,1.4
2021-05-19,Away,0,1,0.9,1.6
2021-05-23,Home,1,0,0.5,1.1
