match_date,Venue,GF,GA,xG,xGA
2020-09-19,Home,1,3,1.2,1.6
2020-09-26,Away,3,2,1.5,2.5
2020-10-04,Home,1,6,0.9,3.4
2020-10-17,Away,4,1,2.3,0.9
2020-10-24,Home,0,0,0.6,0.2
2020-11-01,Home,0,1,0.4,1.0
2020-11-07,Away,3,1,1.5,0.4
2020-11-21,Home,1,0,2.4,0.6
2020-11-29,Away,3,2,2.1,0.5
2020-12-05,Away,3,1,1.7,2.0
2020-12-12,Home,0,0,0.6,1.3
2020-12-17,Away,3,2,1.9,1.5
2020-12-20,Home,6,2,3.6,1.8
2020-12-26,Away,2,2,1.7,0.9
2020-12-29,Home,1,0,1.5,0.5
2021-01-01,Home,2,1,2.1,1.4
2021-01-12,Away,1,0,1.2,0.9
2021-01-17,Away,0,0,1.1,1.2
2021-01-20,Away,2,1,1.7,0.9
2021-01-27,Home,1,2,1.1,1.0
2021-01-30,Away,0,0,1.6,0.9
2021-02-02,Home,9,0,4.7,0.5
2021-02-06,Home,3,3,1.8,1.5
2021-02-14,Away,1,1,0.5,1.0
2021-02-21,Home,3,1,1.7,0.4
2021-02-28,Away,0,0,0.4,1.1
2021-03-03,Away,0,0,0.9,0.9
2021-03-07,Away,2,0,1.7,1.3
2021-03-14,Home,1,0,1.5,0.6
2021-04-04,Home,2,1,1.5,1.2
2021-04-11,Away,3,1,2.1,0.9
2021-04-18,Home,3,1,2.5,0.9
2021-04-25,Away,0,0,1.2,0.3
2021-05-09,Away,3,1,1.7,0.5
2021-05-11,Home,1,2,0.2,0.9
2021-05-13,Home,2,4,1.9,2.7
2021-05-18,Home,1,1,0.9,0.9
2021-05-23,Away,2,1,2.0,0.9
