match_date,Venue,GF,GA,xG,xGA
2020-09-12,Away,2,0,1.6,1.0
2020-09-20,Home,0,3,0.5,1.8
2020-09-27,Away,1,1,1.0,2.9
2020-10-03,Home,3,1,1.8,0.4
2020-10-17,Home,1,4,0.9,2.3
2020-10-25,Away,1,1,0.3,0.7
2020-11-01,Home,2,1,2.9,1.5
2020-11-06,Away,0,2,0.3,0.7
2020-11-21,Home,0,2,0.3,1.5
2020-11-27,Away,2,0,1.3,0.6
2020-12-12,Home,2,1,0.8,0.6
2020-12-16,Away,2,5,1.5,2.7
2020-12-19,Home,1,1,1.4,1.0
2020-12-26,Away,0,2,0.3,3.0
2020-12-30,Home,0,0,0.5,1.4
2021-01-03,Home,1,2,0.5,0.6
2021-01-12,Away,0,1,0.6,2.1
2021-01-18,Away,0,3,0.2,2.4
2021-01-23,Away,0,2,0.5,2.3
2021-01-26,Home,1,2,1.4,0.7
2021-01-30,Away,2,0,1.7,0.8
2021-02-02,Home,1,2,1.9,0.7
2021-02-06,Home,3,2,0.7,1.3
2021-02-15,Away,0,2,0.6,2.2
2021-02-21,Away,1,3,0.4,1.7
2021-02-27,Home,1,1,1.7,1.1
2021-03-07,Away,0,0,0.5,2.0
2021-03-12,Home,1,1,1.5,0.9
2021-03-20,Away,0,3,0.1,0.9
2021-04-04,Home,2,2,3.4,2.7
2021-04-11,Away,2,1,1.2,2.0
2021-04-17,Home,3,2,2.2,1.9
2021-04-24,Away,1,1,1.0,2.4
2021-05-02,Home,0,2,0.3,2.0
2021-05-07,Away,4,2,2.7,2.2
2021-05-14,Home,3,4,2.2,1.5
2021-05-19,Home,1,0,1.6,0.9
2021-05-23,Away,2,0,1.3,1.0
