match_date,Venue,GF,GA,xG,xGA
2020-09-13,Home,0,3,0.4,2.8
2020-09-19,Away,2,5,0.3,3.9
2020-09-26,Home,3,3,0.6,2.0
2020-10-04,Away,0,2,0.2,1.2
2020-10-19,Home,0,0,0.8,1.1
2020-10-26,Away,1,1,0.4,0.5
2020-11-02,Away,0,2,0.5,1.5
2020-11-08,Home,0,1,0.8,1.9
2020-11-21,Away,0,1,0.6,2.4
2020-11-28,Home,1,0,1.2,2.9
2020-12-06,Home,1,5,0.7,1.6
2020-12-12,Away,1,2,0.6,0.8
2020-12-15,Away,1,1,0.4,2.2
2020-12-20,Home,0,3,0.0,2.4
2020-12-27,Away,1,1,0.6,1.5
2020-12-29,Home,0,5,0.5,1.2
2021-01-02,Home,0,4,1.0,3.7
2021-01-16,Away,3,2,2.4,1.5
2021-01-19,Away,1,2,0.5,2.0
2021-01-26,Home,0,5,0.5,1.8
2021-01-30,Home,2,2,1.0,1.3
2021-02-02,Away,1,2,1.6,1.3
2021-02-07,Away,0,2,0.6,1.5
2021-02-14,Home,1,1,1.0,0.5
2021-02-20,Away,0,0,1.6,0.5
2021-02-27,Home,1,0,0.8,2.9
2021-03-04,Home,0,1,1.0,1.0
2021-03-07,Home,0,0,2.0,0.5
2021-03-13,Away,0,1,0.8,1.2
2021-04-03,Away,5,2,1.6,2.1
2021-04-12,Home,3,0,3.0,1.5
2021-04-22,Away,0,3,0.5,2.1
2021-04-25,Away,2,2,1.5,3.2
2021-05-03,Home,1,1,1.1,1.0
2021-05-09,Away,1,3,1.8,0.9
2021-05-16,Home,1,2,1.0,1.9
2021-05-19,Home,1,3,1.1,3.4
2021-05-23,Away,1,3,1.0,2.3
