match_date,Venue,GF,GA,xG,xGA
2020-09-14,Away,2,0,1.4,1.0
2020-09-21,Home,1,3,0.6,1.9
2020-09-27,Away,0,4,0.5,2.4
2020-10-04,Home,1,0,1.2,0.9
2020-10-19,Away,1,0,0.4,1.0
2020-10-25,Home,1,1,0.7,0.3
2020-10-30,Home,2,0,1.3,0.7
2020-11-08,Away,0,1,0.8,2.0
2020-11-23,Home,1,1,1.5,1.0
2020-11-29,Away,2,1,1.8,1.5
2020-12-06,Away,0,4,0.4,1.2
2020-12-12,Home,0,1,1.1,1.4
2020-12-15,Home,2,1,0.5,1.0
2020-12-21,Away,1,2,1.5,1.7
2020-12-27,Home,1,1,0.9,0.4
2020-12-29,Away,0,1,0.5,1.5
2021-01-02,Away,3,3,1.6,2.2
2021-01-12,Home,1,2,0.7,0.6
2021-01-16,Home,2,3,1.5,2.4
2021-01-27,Away,0,0,0.5,0.7
2021-01-30,Away,0,1,0.4,1.4
2021-02-02,Home,2,1,1.5,0.8
2021-02-07,Home,0,0,1.1,0.8
2021-02-14,Away,2,1,1.1,0.8
2021-02-19,Home,1,0,0.6,1.7
2021-02-27,Away,1,1,1.1,1.7
2021-03-02,Away,1,4,0.3,3.3
2021-03-06,Away,0,0,1.6,0.6
2021-03-15,Home,0,1,1.1,0.9
2021-04-05,Home,2,3,2.1,1.3
2021-04-09,Away,1,0,0.5,0.9
2021-04-17,Home,1,0,1.1,0.5
2021-04-25,Home,0,4,0.4,2.0
2021-05-03,Away,1,1,1.0,1.1
2021-05-09,Home,2,1,1.1,0.3
2021-05-16,Away,0,2,0.9,3.2
2021-05-19,Away,0,1,0.3,0.7
2021-05-23,Home,1,2,0.9,2.0
