element,name,position,GW,was_home,played,90s_per_gameweek,prev_game_minutes_1,prev_game_minutes_2,prev_game_minutes_3,prev_game_minutes_4,prev_game_minutes_5,minutes_form,points_per_90,form,ict_per_90,ict_form,bps_per_90,bps_form,previous_season_points_per_90,previous_season_90s_per_gameweek,opp_team_goals_scored_per_game,opp_team_xG_per_game,opp_team_goals_conceded_per_game,opp_team_xGA_per_game,opp_team_goals_scored_form,opp_team_goals_conceded_form,opp_team_goalless_games_per_game,opp_team_clean_sheets_per_game
71,Gavin Kilkenny,MID,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.41781948833336696,1.5757575757575757,1.478787878787879,1.6363636363636365,1.4757575757575756,0.4,2.0,0.24242424242424243,0.15151515151515152
473,George Baldock,DEF,35,0,0,0.3163398692810458,0.0,0.0,0.0,0.0,0.0,0.0,1.952479338842975,0.0,2.659090909090909,0.0,10.878099173553718,0.0,5.001114096961111,0.41781948833336696,2.090909090909091,1.8727272727272726,1.6363636363636365,1.6666666666666665,2.0,1.2,0.15151515151515152,0.30303030303030304
636,George Shelvey,GKP,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.0,2.4242424242424243,2.0757575757575757,0.9696969696969697,0.9393939393939394,3.4,0.8,0.09090909090909091,0.30303030303030304
503,Giovani Lo Celso,MID,35,1,0,0.1607638888888889,9.0,14.0,1.0,22.0,3.0,9.8,8.164146868250539,0.8,9.6414686825054,1.16,33.23974082073434,4.6,5.001114096961111,0.41781948833336696,2.411764705882353,1.9882352941176469,0.7647058823529411,0.7029411764705883,2.4,0.4,0.14705882352941177,0.47058823529411764
503,Giovani Lo Celso,MID,35,0,0,0.1607638888888889,9.0,14.0,1.0,22.0,3.0,9.8,8.164146868250539,0.8,9.6414686825054,1.16,33.23974082073434,4.6,5.001114096961111,0.41781948833336696,1.90625,1.95,1.78125,1.553125,2.8,2.4,0.1875,0.1875
801,Giovanni Reyna,MID,35,1,0,0.1962962962962963,52.0,70.0,9.0,13.0,30.0,34.8,5.09433962264151,1.8,8.49056603773585,3.2600000000000002,17.40566037735849,6.0,5.001114096961111,0.41781948833336696,2.4242424242424243,2.0757575757575757,0.9696969696969697,0.9393939393939394,3.4,0.8,0.09090909090909091,0.30303030303030304
438,Giulian Biancone,DEF,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0043859649122807015,2.4242424242424243,2.0757575757575757,0.9696969696969697,0.9393939393939394,3.4,0.8,0.09090909090909091,0.30303030303030304
334,Glen Rea,MID,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.41781948833336696,1.3529411764705883,1.276470588235294,1.588235294117647,1.6558823529411766,0.8,1.6,0.23529411764705882,0.14705882352941177
554,Goncalo Manuel Ganchinho Guedes,MID,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7126600284495024,0.20555555555555555,1.3823529411764706,1.1352941176470588,2.2058823529411766,2.085294117647059,1.0,3.0,0.14705882352941177,0.058823529411764705
679,Gonzalo Montiel,DEF,35,1,0,0.17291666666666666,0.0,0.0,3.0,0.0,0.0,0.6,3.7951807228915664,0.2,3.939759036144578,0.02,20.42168674698795,0.6,5.001114096961111,0.41781948833336696,2.4242424242424243,2.0757575757575757,0.9696969696969697,0.9393939393939394,3.4,0.8,0.09090909090909091,0.30303030303030304
30,Granit Xhaka,MID,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.602272727272727,0.8748538011695907,2.03125,1.73125,1.53125,1.653125,1.2,2.0,0.0625,0.1875
520,Guglielmo Vicario,GKP,35,1,0,1.0,90.0,90.0,90.0,90.0,90.0,90.0,3.0625,2.2,2.48125,2.6399999999999997,19.03125,16.6,5.001114096961111,0.41781948833336696,2.411764705882353,1.9882352941176469,0.7647058823529411,0.7029411764705883,2.4,0.4,0.14705882352941177,0.47058823529411764
520,Guglielmo Vicario,GKP,35,0,0,1.0,90.0,90.0,90.0,90.0,90.0,90.0,3.0625,2.2,2.48125,2.6399999999999997,19.03125,16.6,5.001114096961111,0.41781948833336696,1.90625,1.95,1.78125,1.553125,2.8,2.4,0.1875,0.1875
663,Gustavo Hamer,MID,35,0,0,0.8619528619528619,90.0,77.0,90.0,90.0,61.0,81.6,3.41015625,4.4,5.175,5.16,13.81640625,14.8,5.001114096961111,0.41781948833336696,2.090909090909091,1.8727272727272726,1.6363636363636365,1.6666666666666665,2.0,1.2,0.15151515151515152,0.30303030303030304
462,Gustavo Henrique Furtado Scarpa,MID,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5423728813559325,0.051754385964912275,2.4242424242424243,2.0757575757575757,0.9696969696969697,0.9393939393939394,3.4,0.8,0.09090909090909091,0.30303030303030304
