match_date,Venue,GF,GA,xG,xGA
2019-08-11,Away,1,0,1.1,0.4
2019-08-17,Home,2,1,0.8,1.5
2019-08-24,Away,1,3,1.0,2.5
2019-09-01,Home,2,2,2.4,2.0
2019-09-15,Away,2,2,0.8,2.7
2019-09-22,Home,3,2,2.4,1.5
2019-09-30,Away,1,1,1.9,0.9
2019-10-06,Home,1,0,1.2,0.6
2019-10-21,Away,0,1,1.0,0.9
2019-10-27,Home,2,2,1.3,1.6
2019-11-02,Home,1,1,0.9,1.8
2019-11-09,Away,0,2,1.0,1.2
2019-11-23,Home,2,2,1.8,2.4
2019-12-01,Away,2,2,1.9,0.8
2019-12-05,Home,1,2,0.9,1.7
2019-12-09,Away,3,1,1.4,0.6
2019-12-15,Home,0,3,0.5,1.3
2019-12-21,Away,0,0,0.6,0.5
2019-12-26,Away,1,1,1.4,2.0
2019-12-29,Home,1,2,0.5,1.4
2020-01-01,Home,2,0,1.5,0.7
2020-01-11,Away,1,1,1.4,0.6
2020-01-18,Home,1,1,1.4,0.8
2020-01-21,Away,2,2,0.4,2.9
2020-02-02,Away,0,0,1.2,1.9
2020-02-16,Home,4,0,2.6,0.9
2020-02-23,Home,3,2,1.3,2.7
2020-03-07,Home,1,0,1.2,1.5
2020-06-17,Away,0,3,0.3,2.6
2020-06-20,Away,1,2,0.8,1.0
2020-06-25,Away,2,0,1.9,0.9
2020-07-01,Home,4,0,1.5,0.3
2020-07-04,Away,2,0,1.3,1.2
2020-07-07,Home,1,1,1.1,0.9
2020-07-12,Away,1,2,0.6,2.0
2020-07-15,Home,2,1,0.8,2.1
2020-07-21,Away,0,1,0.6,0.6
2020-07-26,Home,3,2,2.3,3.7
