match_date,Venue,GF,GA,xG,xGA
2019-08-10,Away,3,0,0.8,0.7
2019-08-17,Home,1,1,2.0,0.8
2019-08-24,Home,0,2,0.8,1.7
2019-08-31,Away,0,4,0.9,1.9
2019-09-14,Home,1,1,1.4,0.4
2019-09-21,Away,0,0,1.4,0.9
2019-09-28,Away,0,2,0.6,3.7
2019-10-05,Home,3,0,2.4,0.4
2019-10-19,Away,1,2,1.2,3.0
2019-10-26,Home,3,2,1.2,0.9
2019-11-02,Home,2,0,2.7,0.4
2019-11-10,Away,1,3,0.8,3.6
2019-11-23,Home,0,2,0.6,3.6
2019-11-30,Away,1,2,0.8,1.3
2019-12-05,Away,2,1,1.7,0.9
2019-12-08,Home,2,2,1.2,1.5
2019-12-16,Away,1,1,2.3,0.7
2019-12-21,Home,0,1,0.5,1.3
2019-12-26,Away,1,2,1.0,0.8
2019-12-28,Home,2,0,0.8,0.5
2020-01-01,Home,1,1,1.3,1.3
2020-01-11,Away,0,1,1.3,1.7
2020-01-18,Home,1,1,1.1,0.6
2020-01-21,Away,1,3,1.8,1.4
2020-02-01,Away,3,3,1.9,0.8
2020-02-08,Home,1,1,0.8,0.2
2020-02-22,Away,1,1,1.2,1.6
2020-02-29,Home,0,1,2.2,2.5
2020-03-07,Away,0,0,0.3,0.8
2020-06-20,Home,2,1,1.0,0.8
2020-06-23,Away,0,0,1.1,0.6
2020-06-30,Home,0,3,0.4,1.0
2020-07-04,Away,1,0,1.0,0.6
2020-07-08,Home,1,3,2.4,2.5
2020-07-11,Home,0,5,0.2,4.4
2020-07-16,Away,1,1,0.7,2.5
2020-07-20,Home,0,0,0.8,0.9
2020-07-26,Away,2,1,1.2,1.7
