match_date,Venue,GF,GA,xG,xGA
2019-08-10,Away,1,1,1.3,1.3
2019-08-18,Home,1,0,2.2,0.3
2019-08-24,Home,1,2,0.3,0.8
2019-08-31,Away,2,2,1.1,2.0
2019-09-14,Home,0,1,1.8,1.6
2019-09-21,Away,2,0,0.5,1.0
2019-09-28,Home,0,1,1.3,1.9
2019-10-05,Away,0,0,0.4,1.4
2019-10-21,Home,1,0,0.9,1.0
2019-10-26,Away,1,1,1.0,2.3
2019-11-02,Home,3,0,2.3,0.8
2019-11-09,Away,1,1,0.9,1.8
2019-11-24,Home,3,3,1.3,1.3
2019-12-01,Away,1,1,1.5,1.3
2019-12-05,Home,0,2,1.1,0.5
2019-12-08,Away,2,1,0.8,0.7
2019-12-14,Home,2,0,1.7,1.1
2019-12-21,Away,1,0,1.3,0.5
2019-12-26,Home,1,1,2.4,0.6
2019-12-29,Away,0,2,1.1,1.1
2020-01-02,Away,0,2,0.6,2.8
2020-01-10,Home,1,0,1.4,0.7
2020-01-18,Away,1,1,0.8,1.4
2020-01-21,Home,0,1,0.8,2.8
2020-02-01,Away,1,0,0.7,0.8
2020-02-09,Home,2,1,1.9,1.4
2020-02-22,Home,1,1,1.6,1.2
2020-03-07,Home,1,0,0.9,2.4
2020-06-17,Away,0,0,0.3,1.4
2020-06-21,Away,0,3,0.6,2.0
2020-06-24,Away,0,3,0.1,2.4
2020-07-02,Home,3,1,1.6,1.1
2020-07-05,Away,1,1,1.1,1.3
2020-07-08,Home,1,0,0.5,0.4
2020-07-11,Home,3,0,2.3,1.2
2020-07-16,Away,0,2,0.7,2.6
2020-07-20,Home,0,1,0.5,0.4
2020-07-26,Away,1,3,1.4,1.7
