match_date,Venue,GF,GA,xG,xGA
2019-08-10,Home,3,1,2.4,0.7
2019-08-17,Away,2,2,0.1,2.9
2019-08-25,Home,0,1,1.1,0.8
2019-09-01,Away,2,2,2.0,2.4
2019-09-14,Home,4,0,1.0,0.6
2019-09-21,Away,1,2,1.1,1.3
2019-09-28,Home,2,1,1.0,1.5
2019-10-05,Away,0,3,0.4,2.4
2019-10-19,Home,1,1,1.0,0.7
2019-10-27,Away,1,2,1.2,2.6
2019-11-03,Away,1,1,0.6,1.1
2019-11-09,Home,1,1,1.8,0.9
2019-11-23,Away,3,2,2.1,0.7
2019-11-30,Home,3,2,2.3,1.1
2019-12-04,Away,1,2,0.9,1.4
2019-12-07,Home,5,0,2.6,0.9
2019-12-15,Away,2,1,0.9,0.9
2019-12-22,Home,0,2,0.3,1.3
2019-12-26,Home,2,1,0.8,1.0
2019-12-28,Away,2,2,1.9,0.2
2020-01-01,Away,0,1,0.9,1.3
2020-01-11,Home,0,1,1.2,1.2
2020-01-18,Away,0,0,1.9,2.5
2020-01-22,Home,2,1,2.1,1.5
2020-02-02,Home,2,0,0.3,2.4
2020-02-16,Away,3,2,3.4,1.8
2020-02-22,Away,1,2,0.2,1.7
2020-03-01,Home,2,3,1.7,2.6
2020-03-07,Away,1,1,1.2,3.0
2020-06-19,Home,1,1,0.4,1.7
2020-06-23,Home,2,0,2.3,1.2
2020-07-02,Away,1,3,1.1,1.6
2020-07-06,Home,1,0,0.5,0.5
2020-07-09,Away,0,0,0.5,1.4
2020-07-12,Home,2,1,2.0,0.6
2020-07-15,Away,3,1,1.5,1.1
2020-07-19,Home,3,0,0.8,1.7
2020-07-26,Away,1,1,0.3,0.8
