match_date,Venue,GF,GA,xG,xGA
2019-08-10,Home,0,3,0.7,0.8
2019-08-17,Away,0,1,1.2,0.7
2019-08-24,Home,1,3,2.3,3.5
2019-08-31,Away,1,1,1.0,1.0
2019-09-15,Home,2,2,2.7,0.8
2019-09-21,Away,0,8,0.4,5.9
2019-09-28,Away,0,2,1.4,1.4
2019-10-05,Home,0,0,1.4,0.4
2019-10-19,Away,1,1,0.7,1.0
2019-10-26,Home,0,0,0.8,1.0
2019-11-02,Home,1,2,1.3,2.1
2019-11-08,Away,2,0,1.3,0.7
2019-11-23,Home,0,3,1.0,1.9
2019-11-30,Away,1,2,0.6,2.1
2019-12-04,Away,0,2,0.2,2.4
2019-12-07,Home,0,0,1.4,0.2
2019-12-14,Away,0,2,1.0,1.4
2019-12-22,Home,2,0,1.5,1.8
2019-12-26,Away,1,1,0.6,2.4
2019-12-28,Home,3,0,2.8,0.6
2020-01-01,Home,2,1,1.1,1.2
2020-01-12,Away,3,0,2.0,0.4
2020-01-18,Home,0,0,2.5,1.9
2020-01-21,Away,1,2,1.8,1.3
2020-02-01,Home,2,3,0.9,2.2
2020-02-08,Away,1,1,0.2,0.8
2020-02-23,Away,0,3,0.3,2.4
2020-02-29,Home,3,0,2.3,0.3
2020-03-07,Away,0,1,0.6,0.8
2020-06-20,Home,1,1,1.3,1.0
2020-06-25,Away,0,1,0.7,0.9
2020-06-28,Home,1,3,0.5,1.3
2020-07-04,Away,0,3,0.6,2.5
2020-07-07,Home,2,1,1.2,1.2
2020-07-11,Home,2,1,3.4,1.3
2020-07-17,Away,1,3,1.5,0.9
2020-07-21,Home,0,4,0.1,3.3
2020-07-26,Away,2,3,3.7,2.3
