match_date,Venue,GF,GA,xG,xGA
2019-08-10,Home,1,1,1.3,1.3
2019-08-17,Away,2,1,1.6,2.0
2019-08-25,Home,1,3,2.2,3.0
2019-08-31,Away,1,3,0.6,2.0
2019-09-15,Home,3,1,1.4,1.5
2019-09-20,Away,3,1,1.2,2.5
2019-09-28,Home,2,2,1.9,1.6
2019-10-06,Away,0,1,0.6,1.2
2019-10-19,Home,0,0,0.7,0.4
2019-10-26,Away,0,0,1.0,0.8
2019-11-02,Home,1,0,1.9,0.8
2019-11-09,Away,1,2,1.8,2.4
2019-11-23,Home,1,2,0.6,1.1
2019-11-30,Away,2,3,1.1,2.3
2019-12-03,Away,0,1,0.4,0.3
2019-12-07,Home,0,3,0.1,2.4
2019-12-14,Away,1,0,1.0,2.1
2019-12-21,Home,0,1,0.1,0.2
2019-12-26,Home,1,1,2.0,1.4
2019-12-28,Away,0,2,0.5,0.8
2020-01-01,Away,0,4,0.6,2.4
2020-01-12,Home,0,3,0.4,2.0
2020-01-18,Away,0,1,0.7,1.8
2020-01-21,Home,3,1,1.4,1.8
2020-02-01,Home,2,1,2.2,1.7
2020-02-09,Away,1,2,1.4,1.9
2020-02-22,Away,0,3,1.8,3.2
2020-02-29,Home,2,2,1.4,1.9
2020-03-07,Away,1,2,1.4,1.8
2020-06-20,Home,0,2,0.5,0.8
2020-06-24,Away,0,1,0.1,1.7
2020-07-01,Home,1,4,1.6,1.8
2020-07-04,Away,2,5,1.8,2.5
2020-07-09,Home,0,0,1.4,0.5
2020-07-12,Home,4,1,2.5,1.5
2020-07-15,Away,1,2,1.6,0.7
2020-07-19,Home,0,2,0.5,2.5
2020-07-26,Away,3,1,1.5,1.7
