match_date,Venue,GF,GA,xG,xGA
2019-08-09,Away,1,4,0.9,1.8
2019-08-17,Home,3,1,1.7,0.9
2019-08-24,Home,2,3,1.1,1.5
2019-08-31,Away,0,2,1.4,2.0
2019-09-14,Home,3,2,1.5,2.3
2019-09-21,Away,0,2,0.8,2.0
2019-09-28,Away,0,2,0.7,1.5
2019-10-05,Home,1,5,2.6,3.0
2019-10-19,Away,0,0,0.4,0.7
2019-10-27,Home,1,3,1.0,4.2
2019-11-02,Away,0,2,0.4,2.7
2019-11-08,Home,0,2,0.7,1.3
2019-11-23,Away,2,0,1.7,0.9
2019-12-01,Home,2,2,0.8,1.9
2019-12-04,Away,1,2,0.9,1.7
2019-12-08,Home,1,2,0.7,0.8
2019-12-14,Away,1,1,1.1,1.1
2019-12-21,Home,1,2,1.3,1.4
2019-12-26,Away,0,1,1.2,0.6
2019-12-28,Home,2,2,0.2,1.9
2020-01-01,Home,1,1,1.4,1.3
2020-01-11,Away,0,4,0.3,2.9
2020-01-18,Home,1,0,1.8,0.7
2020-01-22,Away,1,2,1.5,2.1
2020-02-01,Away,0,0,2.2,1.0
2020-02-15,Home,0,1,0.3,2.0
2020-02-23,Away,0,3,0.4,2.9
2020-02-28,Home,1,0,0.6,1.3
2020-03-07,Away,0,1,2.4,0.9
2020-06-19,Home,0,3,0.6,1.7
2020-06-24,Home,0,1,0.4,0.8
2020-07-01,Away,0,4,0.3,1.5
2020-07-04,Home,0,1,0.6,1.0
2020-07-07,Away,1,2,1.2,1.2
2020-07-11,Home,0,4,0.6,3.5
2020-07-14,Away,0,1,0.1,2.5
2020-07-18,Home,0,2,0.3,1.8
2020-07-26,Away,0,5,1.0,3.2
