web_name,club,position
Aarons,NEW,MID
Aarons,NOR,DEF
Abraham,CHE,FWD
Adam Smith,BOU,DEF
Adams,SOU,FWD
Adrian,LIV,GKP
Adshead,NOR,MID
Aguero,MCI,FWD
Ajeti,WHU,FWD
Ake,BOU,DEF
Albrighton,LEI,MID
Alderweireld,TOT,DEF
Alexander-Arnold,LIV,DEF
Alisson,LIV,GKP
Allan,NEW,MID
Alli,TOT,MID
Almiron,NEW,MID
Alonso,CHE,DEF
Alzate,BHA,MID
Amadou,NOR,MID
Amartey,LEI,MID
Amos,TOT,MID
Ampadu,CHE,MID
Anang,WHU,GKP
Andone,BHA,FWD
Andre Gomes,EVE,MID
Angelino,MCI,DEF
Anjorin,CHE,MID
Antonio,WHU,MID
Armstrong,SOU,MID
Arnautovic,WHU,FWD
Ashley-Seal,WOL,FWD
Atsu,NEW,MID
Aubameyang,ARS,FWD
Aurier,TOT,DEF
Austin,SOU,FWD
Austin,TOT,GKP
Ayew,CRY,FWD
Azpilicueta,CHE,DEF
Bailly,MUN,DEF
Baines,EVE,DEF
Balbuena,WHU,DEF
Baldock,SHU,DEF
Balogun,BHA,DEF
Baluta,BHA,DEF
Baningime,EVE,MID
Bardsley,BUR,DEF
Barkley,CHE,MID
Barnes,BUR,FWD
Barnes,LEI,MID
Basham,SHU,DEF
Baston,AVL,FWD
Bate,CHE,MID
Batshuayi,CHE,FWD
Bednarek,SOU,DEF
Begovic,BOU,GKP
Bellerín,ARS,DEF
Benkovic,LEI,DEF
Bennett,LEI,DEF
Benson,BUR,MID
Bentaleb,NEW,MID
Benteke,CRY,FWD
Berge,SHU,MID
Bergwijn,TOT,MID
Bernard,EVE,MID
Bernardo,BHA,DEF
Bernardo Silva,MCI,MID
Bertrand,SOU,DEF
Besic,SHU,MID
Billing,BOU,MID
Bissouma,BHA,MID
Bjarnason,AVL,MID
Boly,WOL,DEF
Bong,BHA,DEF
Boruc,BOU,GKP
Boufal,SOU,MID
Bowen,WHU,MID
Brady,BUR,MID
Branthwaite,EVE,DEF
Bravo,MCI,GKP
Brewster,LIV,FWD
Broja,CHE,FWD
Brooks,BOU,MID
Brownhill,BUR,MID
Buendia,NOR,MID
Burn,BHA,DEF
Button,BHA,GKP
Buur,WOL,DEF
Byram,NOR,DEF
Caballero,CHE,GKP
Cahill,CRY,DEF
Callum Robinson,SHU,MID
Callum Wilson,BOU,FWD
Calvert-Lewin,EVE,FWD
Camacho,LIV,MID
Camarasa,CRY,MID
Campana,WOL,FWD
Cancelo,MCI,DEF
Cantwell,NOR,MID
Capoue,WAT,MID
Cardoso,WHU,DEF
Carlos Sanchez,WHU,MID
Carroll,NEW,FWD
Carson,MCI,GKP
Cathcart,WAT,DEF
Cavaleiro,WOL,MID
Ceballos,ARS,MID
Chalobah,WAT,MID
Chamberlain,LIV,MID
Chambers,ARS,DEF
Chester,AVL,DEF
Chicharito,WHU,FWD
Chilwell,LEI,DEF
Chong,MUN,MID
Choudhury,LEI,MID
Christensen,CHE,DEF
Cirkin,TOT,DEF
Clark,NEW,DEF
Clarke,BHA,DEF
Clarke,SHU,FWD
Cleverley,WAT,MID
Coady,WOL,DEF
Cochrane,BHA,DEF
Colback,NEW,MID
Coleman,EVE,DEF
Connolly,BHA,FWD
Cork,BUR,MID
Costa,WOL,MID
Coventry,WHU,MID
Cresswell,WHU,DEF
Cuco Martina,EVE,DEF
Cundle,WOL,MID
Cutrone,WOL,FWD
Cedric,ARS,DEF
Dahlberg,WAT,GKP
Dalot,MUN,DEF
Daly,CRY,FWD
Daniels,BOU,DEF
Danilo,MCI,DEF
Danjuma,BOU,MID
Dann,CRY,DEF
Danso,SOU,DEF
Darlow,NEW,GKP
Darmian,MUN,DEF
David Luiz,ARS,DEF
David Silva,MCI,MID
Davies,EVE,MID
Davies,TOT,DEF
Davis,AVL,MID
Dawson,WAT,DEF
De Bruyne,MCI,MID
de Gea,MUN,GKP
Deeney,WAT,FWD
Defour,BUR,MID
Dele-Bashiru,WAT,MID
Delph,EVE,DEF
Dendoncker,WOL,MID
Deulofeu,WAT,FWD
Diangana,WHU,MID
Dier,TOT,MID
Digne,EVE,DEF
Diop,WHU,DEF
Djenepo,SOU,MID
Dobre,BOU,MID
Doherty,WOL,DEF
