match_date,Venue,GF,GA,xG,xGA
2017-08-13,Away,0,4,0.5,2.1
2017-08-19,Away,2,3,2.0,2.1
2017-08-26,Away,0,3,0.6,2.3
2017-09-11,Home,2,0,1.7,0.4
2017-09-16,Away,0,0,0.3,0.7
2017-09-23,Home,2,3,0.6,1.2
2017-09-30,Home,1,0,0.7,0.2
2017-10-14,Away,1,1,0.9,1.2
2017-10-20,Home,0,3,0.7,1.4
2017-10-28,Away,2,2,0.8,2.6
2017-11-04,Home,1,4,1.2,2.7
2017-11-19,Away,0,2,1.6,1.0
2017-11-24,Home,1,1,0.9,0.4
2017-11-29,Away,0,4,1.1,1.5
2017-12-03,Away,1,2,0.6,2.3
2017-12-09,Home,1,0,0.3,1.2
2017-12-13,Home,0,0,0.4,1.0
2017-12-16,Away,3,0,3.1,1.1
2017-12-23,Home,2,3,2.1,1.7
2017-12-26,Away,3,3,1.7,2.9
2018-01-02,Home,2,1,1.3,1.0
2018-01-04,Away,1,1,0.5,1.8
2018-01-13,Away,4,1,0.9,0.7
2018-01-20,Home,1,1,0.8,0.5
2018-01-30,Home,1,1,1.1,0.9
2018-02-03,Away,1,3,0.4,1.7
2018-02-10,Home,2,0,1.5,0.6
2018-02-24,Away,1,4,0.4,4.0
2018-03-03,Away,1,4,0.4,1.8
2018-03-10,Home,0,3,0.8,1.4
2018-03-31,Home,3,0,1.4,0.5
2018-04-08,Away,1,1,0.3,1.7
2018-04-16,Home,1,1,0.8,1.7
2018-04-22,Away,1,4,0.8,1.8
2018-04-29,Home,1,4,0.2,2.4
2018-05-05,Away,2,0,1.6,0.5
2018-05-10,Home,0,0,0.6,0.8
2018-05-13,Home,3,1,1.1,1.6
