match_date,Venue,GF,GA,xG,xGA
2017-08-12,Home,3,3,2.1,2.6
2017-08-19,Away,2,0,2.4,1.0
2017-08-26,Home,0,0,0.3,1.1
2017-09-09,Away,2,0,0.7,0.3
2017-09-16,Home,0,6,0.5,3.3
2017-09-23,Away,2,1,1.2,1.7
2017-09-30,Away,2,2,1.4,1.9
2017-10-14,Home,2,1,1.6,1.0
2017-10-21,Away,2,4,1.9,1.9
2017-10-28,Home,0,1,1.2,1.1
2017-11-05,Away,2,3,2.0,2.1
2017-11-19,Home,2,0,1.0,1.6
2017-11-25,Away,3,0,2.0,0.9
2017-11-28,Home,2,4,1.4,1.2
2017-12-02,Home,1,1,0.4,0.8
2017-12-09,Away,0,1,1.1,0.5
2017-12-12,Away,1,2,1.2,1.2
2017-12-16,Home,1,4,0.6,3.4
2017-12-23,Away,0,1,1.5,1.1
2017-12-26,Home,2,1,1.2,1.3
2017-12-30,Home,1,2,1.2,1.1
2018-01-02,Away,1,3,1.0,2.1
2018-01-13,Home,2,2,2.0,0.9
2018-01-20,Away,0,2,0.9,1.9
2018-01-31,Away,0,0,0.7,0.9
2018-02-05,Home,4,1,2.3,0.7
2018-02-10,Away,0,2,0.6,1.5
2018-02-24,Home,1,0,0.6,0.8
2018-03-03,Home,1,0,1.3,1.1
2018-03-11,Away,0,3,1.4,2.2
2018-03-17,Away,0,5,0.4,2.3
2018-03-31,Home,2,2,0.7,1.7
2018-04-07,Home,1,2,1.2,1.0
2018-04-14,Away,0,1,0.2,0.8
2018-04-21,Home,0,0,0.6,0.3
2018-04-30,Away,0,2,1.3,1.4
2018-05-05,Home,2,1,2.5,0.7
2018-05-13,Away,0,1,0.6,0.4
