match_date,Venue,GF,GA,xG,xGA
2017-08-13,Home,4,0,2.1,0.5
2017-08-19,Away,4,0,3.0,0.4
2017-08-26,Home,2,0,2.8,0.9
2017-09-09,Away,2,2,2.1,1.2
2017-09-17,Home,4,0,2.9,1.1
2017-09-23,Away,1,0,1.2,1.0
2017-09-30,Home,4,0,2.8,0.4
2017-10-14,Away,0,0,0.2,1.5
2017-10-21,Away,1,2,0.8,1.2
2017-10-28,Home,1,0,0.8,1.2
2017-11-05,Away,0,1,0.7,1.6
2017-11-18,Home,4,1,3.1,1.1
2017-11-25,Home,1,0,1.2,0.5
2017-11-28,Away,4,2,1.2,1.4
2017-12-02,Away,3,1,1.8,4.7
2017-12-10,Home,1,2,1.4,1.7
2017-12-13,Home,1,0,1.1,0.8
2017-12-17,Away,2,1,0.7,1.1
2017-12-23,Away,2,2,1.9,1.4
2017-12-26,Home,2,2,2.0,0.5
2017-12-30,Home,0,0,1.7,0.6
2018-01-01,Away,2,0,1.4,1.2
2018-01-15,Home,3,0,1.5,1.3
2018-01-20,Away,1,0,0.8,1.0
2018-01-31,Away,0,2,1.0,1.5
2018-02-03,Home,2,0,1.6,0.2
2018-02-11,Away,0,1,1.9,0.5
2018-02-25,Home,2,1,1.2,1.7
2018-03-05,Away,3,2,1.2,0.6
2018-03-10,Home,2,1,0.7,0.7
2018-03-31,Home,2,0,2.2,0.2
2018-04-07,Away,3,2,1.1,2.6
2018-04-15,Home,0,1,0.7,0.7
2018-04-18,Away,2,0,1.3,1.2
2018-04-29,Home,2,1,1.7,0.5
2018-05-04,Away,0,1,0.8,1.0
2018-05-10,Away,0,0,0.8,0.6
2018-05-13,Home,1,0,0.4,0.6
