match_date,Venue,GF,GA,xG,xGA
2017-08-12,Away,2,0,1.9,0.3
2017-08-21,Home,1,1,1.1,0.6
2017-08-26,Away,2,1,1.4,0.5
2017-09-09,Home,5,0,2.4,0.7
2017-09-16,Away,6,0,3.3,0.5
2017-09-23,Home,5,0,4.5,0.6
2017-09-30,Away,1,0,0.9,0.5
2017-10-14,Home,7,2,3.8,0.5
2017-10-21,Home,3,0,3.1,0.2
2017-10-28,Away,3,2,2.3,1.5
2017-11-05,Home,3,1,1.8,0.3
2017-11-18,Away,2,0,1.9,0.2
2017-11-26,Away,2,1,2.6,0.6
2017-11-29,Home,2,1,1.4,1.3
2017-12-03,Home,2,1,2.3,0.6
2017-12-10,Away,2,1,1.7,1.4
2017-12-13,Away,4,0,2.7,0.6
2017-12-16,Home,4,1,3.4,0.2
2017-12-23,Home,4,0,1.5,0.4
2017-12-27,Away,1,0,1.8,0.2
2017-12-31,Away,0,0,1.3,1.3
2018-01-02,Home,3,1,2.1,1.0
2018-01-14,Away,3,4,0.8,0.8
2018-01-20,Home,3,1,2.1,1.0
2018-01-31,Home,3,0,2.3,0.2
2018-02-03,Away,1,1,1.8,0.9
2018-02-10,Home,5,1,2.5,0.1
2018-03-01,Away,3,0,1.5,1.3
2018-03-04,Home,1,0,0.9,0.1
2018-03-12,Away,2,0,1.6,0.4
2018-03-31,Away,3,1,1.5,0.9
2018-04-07,Home,2,3,2.6,1.1
2018-04-14,Away,3,1,2.9,0.4
2018-04-22,Home,5,0,3.2,0.3
2018-04-29,Away,4,1,2.4,0.2
2018-05-06,Home,0,0,0.8,0.2
2018-05-09,Home,3,1,1.6,1.2
2018-05-13,Away,1,0,0.8,0.5
