match_date,Venue,GF,GA,xG,xGA
2017-08-12,Away,0,1,0.4,0.6
2017-08-19,Home,1,0,0.7,1.5
2017-08-27,Away,1,1,1.3,0.8
2017-09-09,Home,2,2,1.2,2.1
2017-09-16,Away,1,2,0.7,2.0
2017-09-23,Home,0,4,0.8,1.4
2017-09-30,Home,2,1,2.4,1.4
2017-10-14,Away,2,7,0.5,3.8
2017-10-21,Home,1,2,1.2,1.1
2017-10-28,Away,1,0,1.1,1.2
2017-11-04,Home,2,2,1.0,1.5
2017-11-20,Away,2,2,1.0,0.5
2017-11-25,Away,1,2,0.7,1.4
2017-11-29,Home,0,3,0.9,2.9
2017-12-02,Home,2,1,1.1,0.4
2017-12-09,Away,1,5,0.5,3.6
2017-12-12,Away,0,1,1.1,0.4
2017-12-16,Home,0,3,1.1,3.1
2017-12-23,Home,3,1,1.4,2.0
2017-12-26,Away,1,1,1.6,1.8
2017-12-30,Away,0,5,0.2,2.6
2018-01-01,Home,0,1,1.5,1.7
2018-01-15,Away,0,3,1.3,1.5
2018-01-20,Home,2,0,1.0,0.3
2018-01-31,Home,0,0,0.9,0.7
2018-02-03,Away,1,2,0.7,1.7
2018-02-10,Home,1,1,1.4,1.1
2018-02-24,Away,1,1,0.2,1.2
2018-03-03,Away,0,0,0.8,0.9
2018-03-12,Home,0,2,0.4,1.6
2018-03-17,Home,1,2,0.8,2.3
2018-04-01,Away,0,3,0.4,3.3
2018-04-07,Home,1,2,1.4,1.7
2018-04-16,Away,1,1,1.7,0.8
2018-04-22,Home,1,1,0.4,1.6
2018-04-28,Away,0,0,0.6,1.9
2018-05-05,Home,1,2,0.5,1.1
2018-05-13,Away,2,1,1.6,3.0
