match_date,Venue,GF,GA,xG,xGA
2017-08-13,Home,0,2,0.8,2.5
2017-08-20,Away,0,1,0.7,0.3
2017-08-26,Home,3,0,2.3,0.6
2017-09-10,Away,1,0,1.0,1.2
2017-09-16,Home,2,1,2.0,0.7
2017-09-24,Away,0,1,1.5,1.0
2017-10-01,Home,1,1,0.3,1.3
2017-10-15,Away,2,2,1.2,1.5
2017-10-21,Home,1,0,0.3,0.5
2017-10-30,Away,0,1,0.5,0.9
2017-11-04,Home,0,1,0.7,1.5
2017-11-18,Away,1,4,1.1,3.1
2017-11-25,Home,0,3,0.9,2.0
2017-11-28,Away,2,2,0.9,1.5
2017-12-02,Away,1,3,0.6,3.2
2017-12-09,Home,2,3,0.9,0.5
2017-12-13,Home,0,1,0.8,1.2
2017-12-16,Away,0,1,0.3,1.8
2017-12-23,Away,3,2,1.7,2.1
2017-12-27,Home,0,1,0.2,1.8
2017-12-30,Home,0,0,0.5,0.5
2018-01-01,Away,1,0,1.7,1.5
2018-01-13,Home,1,1,1.4,1.3
2018-01-20,Away,1,3,1.0,2.1
2018-01-31,Home,1,1,2.2,1.0
2018-02-04,Away,1,1,0.9,3.0
2018-02-11,Home,1,0,0.5,1.9
2018-02-24,Away,2,2,3.0,1.7
2018-03-03,Away,0,2,0.3,1.5
2018-03-10,Home,3,0,1.3,0.3
2018-03-31,Home,1,0,2.4,0.1
2018-04-07,Away,2,1,0.4,1.4
2018-04-15,Home,2,1,0.8,1.2
2018-04-23,Away,0,1,0.8,0.7
2018-04-28,Home,0,1,1.8,0.7
2018-05-05,Away,1,2,0.7,2.5
2018-05-09,Away,0,1,1.0,0.8
2018-05-13,Home,3,0,2.2,1.0
