match_date,Venue,GF,GA,xG,xGA
2017-08-11,Away,3,4,1.5,2.5
2017-08-19,Home,2,0,2.0,0.2
2017-08-26,Away,0,2,0.9,2.8
2017-09-09,Home,1,2,1.4,0.8
2017-09-16,Away,1,1,1.3,0.7
2017-09-23,Home,2,3,2.8,1.7
2017-09-30,Away,0,0,0.6,1.4
2017-10-16,Home,1,1,1.3,0.2
2017-10-21,Away,2,1,1.9,0.8
2017-10-29,Home,2,0,1.3,0.6
2017-11-04,Away,2,2,1.5,1.0
2017-11-18,Home,0,2,0.2,1.9
2017-11-24,Away,1,1,0.4,0.9
2017-11-28,Home,2,1,0.6,2.4
2017-12-02,Home,1,0,1.4,1.0
2017-12-09,Away,3,2,0.5,0.9
2017-12-13,Away,4,1,1.8,1.5
2017-12-16,Home,0,3,0.9,1.7
2017-12-23,Home,2,2,1.4,1.9
2017-12-26,Away,1,2,1.3,1.2
2017-12-30,Away,1,2,0.7,2.9
2018-01-01,Home,3,0,1.5,0.2
2018-01-13,Away,0,0,1.2,0.6
2018-01-20,Home,2,0,1.9,0.9
2018-01-31,Away,1,2,2.2,1.2
2018-02-03,Home,1,1,1.7,0.3
2018-02-10,Away,1,5,0.1,2.5
2018-02-24,Home,1,1,1.2,0.2
2018-03-03,Home,1,1,2.7,1.4
2018-03-10,Away,4,1,2.1,0.3
2018-03-31,Away,2,0,1.2,1.8
2018-04-07,Home,1,2,1.4,0.4
2018-04-14,Away,1,2,1.9,0.9
2018-04-19,Home,0,0,0.6,0.8
2018-04-28,Away,0,5,0.6,3.0
2018-05-05,Home,0,2,0.5,1.6
2018-05-09,Home,3,1,2.2,1.4
2018-05-13,Away,4,5,1.4,1.8
