season_x,element,name,position,GW,was_home,minutes_per_gameweek,prev_game_minutes_1,prev_game_minutes_2,prev_game_minutes_3,prev_game_minutes_4,prev_game_minutes_5,points_per_game,form,influence_per_game,influence_form,creativity_per_game,creativity_form,threat_per_game,threat_form,ict_index_per_game,ict_form,bps_per_game,bps_form,saves_per_game,clean_sheets_per_game,yellow_cards_per_game,red_cards_per_game,previous_season_minutes_per_gameweek,previous_season_points_per_game,previous_season_influence_per_game,previous_season_creativity_per_game,previous_season_threat_per_game,previous_season_ict_index_per_game,previous_season_bps_per_game,previous_season_saves_per_game,previous_season_clean_sheets_per_game,previous_season_yellow_cards_per_game,previous_season_red_cards_per_game,opp_team_goals_scored_per_game,opp_team_xG_per_game,opp_team_goals_conceded_per_game,opp_team_xGA_per_game,opp_team_goals_scored_form,opp_team_goals_conceded_form,opp_team_goalless_games_per_game,opp_team_clean_sheets_per_game
2023-24,127,Aaron Connolly,FWD,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.82302720888731,2.681219968137844,10.930194170993019,7.788563540798733,20.3457251574866,3.8857777924905723,8.530321497046721,0.0,0.1534680536573435,0.06516512635742408,0.002979619802547633,2.2285714285714286,1.9514285714285713,1.6,1.6428571428571426,2.8,0.8,0.14285714285714285,0.2857142857142857
2023-24,127,Aaron Connolly,FWD,37,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.82302720888731,2.681219968137844,10.930194170993019,7.788563540798733,20.3457251574866,3.8857777924905723,8.530321497046721,0.0,0.1534680536573435,0.06516512635742408,0.002979619802547633,2.0277777777777777,1.997222222222222,1.6944444444444444,1.5222222222222224,2.4,1.8,0.16666666666666666,0.2222222222222222
2023-24,530,Aaron Cresswell,DEF,37,1,9.305555555555555,14.0,0.0,45.0,0.0,36.0,0.8888888888888888,0.6,5.199999999999999,2.6799999999999997,7.322222222222223,0.45999999999999996,0.0,0.0,1.2555555555555555,0.32,6.333333333333333,3.2,0.0,0.0,0.1111111111111111,0.0,58.81578947368421,2.642857142857143,14.700000000000001,22.603571428571428,2.892857142857143,4.035714285714286,15.678571428571429,0.0,0.21428571428571427,0.10714285714285714,0.0,1.3611111111111112,1.1111111111111112,2.1666666666666665,2.041666666666667,1.2,2.8,0.1388888888888889,0.05555555555555555
2023-24,104,Aaron Hickey,DEF,37,0,19.805555555555557,0.0,0.0,0.0,0.0,0.0,1.8888888888888888,0.0,7.3999999999999995,0.0,3.155555555555556,0.0,4.111111111111111,0.0,1.4333333333333333,0.0,9.666666666666666,0.0,0.0,0.2222222222222222,0.5555555555555556,0.0,50.473684210526315,2.423076923076923,8.6,4.607692307692307,3.769230769230769,1.7000000000000002,11.923076923076923,0.0,0.19230769230769232,0.2692307692307692,0.0,1.4444444444444444,1.4749999999999999,1.75,1.5527777777777778,1.4,1.6,0.19444444444444445,0.25
2023-24,17,Aaron Ramsdale,GKP,37,0,15.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,12.200000000000001,0.0,0.0,0.0,0.0,0.0,1.2166666666666666,0.0,15.0,0.0,1.5,0.3333333333333333,0.0,0.0,90.0,3.763157894736842,20.03684210526316,0.0,0.0,2.005263157894737,17.473684210526315,2.473684210526316,0.3684210526315789,0.02631578947368421,0.0,1.4857142857142858,1.5228571428571427,1.5714285714285714,1.8142857142857145,1.8,2.2,0.22857142857142856,0.22857142857142856
2023-24,675,Aaron Ramsey,MID,37,0,14.914285714285715,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,3.6571428571428575,0.0,2.0,0.0,3.7857142857142856,0.0,0.9071428571428571,0.0,4.428571428571429,0.0,0.0,0.0,0.07142857142857142,0.0,38.78283247390338,2.444066002397334,11.52144150320949,11.806749670189664,11.008803331621472,3.432025501145204,9.81014251441667,0.0,0.18639791174413886,0.10103143576359756,0.0030249785062157514,1.9714285714285715,1.7285714285714286,1.6571428571428573,1.697142857142857,1.4,2.8,0.08571428571428572,0.17142857142857143
2023-24,401,Aaron Wan-Bissaka,DEF,37,1,43.2,90.0,90.0,90.0,90.0,90.0,2.0,1.6,18.08421052631579,18.2,8.494736842105263,14.060000000000002,2.5789473684210527,2.4,2.9210526315789473,3.46,14.368421052631579,12.2,0.0,0.10526315789473684,0.21052631578947367,0.0,37.68421052631579,3.526315789473684,15.284210526315789,11.678947368421053,7.526315789473684,3.4473684210526314,16.210526315789473,0.0,0.42105263157894735,0.10526315789473684,0.0,2.4444444444444446,1.997222222222222,0.7777777777777778,0.7416666666666667,2.6,0.8,0.1388888888888889,0.4722222222222222
2023-24,401,Aaron Wan-Bissaka,DEF,37,1,43.2,90.0,90.0,90.0,90.0,90.0,2.0,1.6,18.08421052631579,18.2,8.494736842105263,14.060000000000002,2.5789473684210527,2.4,2.9210526315789473,3.46,14.368421052631579,12.2,0.0,0.10526315789473684,0.21052631578947367,0.0,37.68421052631579,3.526315789473684,15.284210526315789,11.678947368421053,7.526315789473684,3.4473684210526314,16.210526315789473,0.0,0.42105263157894735,0.10526315789473684,0.0,2.1944444444444446,1.9583333333333333,1.5833333333333333,1.6361111111111108,2.8,1.0,0.1388888888888889,0.2777777777777778
2023-24,249,Abdoulaye Doucoure,MID,37,1,68.72222222222223,53.0,90.0,90.0,90.0,90.0,3.566666666666667,2.8,14.013333333333332,8.56,14.59,10.42,20.366666666666667,4.8,4.91,2.38,10.433333333333334,9.2,0.0,0.36666666666666664,0.2,0.0,40.18421052631579,3.04,12.632,10.448,9.16,3.2119999999999997,10.52,0.0,0.16,0.24,0.04,0.9722222222222222,1.0277777777777777,2.7777777777777777,1.9805555555555554,1.0,3.6,0.3611111111111111,0.027777777777777776
2023-24,190,Abdul Rahman Baba,DEF,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.34927224210142,2.5244574544434,14.871006702093029,6.495433854738871,5.4747479194636615,2.6867838833337028,13.351129186944437,0.0,0.21214579978696885,0.12249844321065306,0.005051446254622811,1.25,1.2999999999999998,1.75,1.4,1.2,2.0,0.2777777777777778,0.1111111111111111
