match_date,Venue,GF,GA,xG,xGA
2018-08-12,Away,0,0,1.4,1.1
2018-08-19,Home,1,3,0.6,1.5
2018-08-26,Away,2,4,1.5,1.3
2018-09-02,Home,0,2,0.8,2.5
2018-09-16,Away,0,1,0.3,2.6
2018-09-22,Home,4,0,2.1,1.0
2018-09-30,Away,2,1,0.3,1.7
2018-10-06,Home,1,1,0.4,1.0
2018-10-20,Away,0,5,0.4,4.0
2018-10-28,Home,0,4,0.4,2.6
2018-11-03,Away,2,4,1.1,2.4
2018-11-10,Away,0,0,0.4,1.8
2018-11-26,Home,1,2,1.8,1.6
2018-12-01,Away,0,2,0.7,1.6
2018-12-05,Home,1,3,0.9,2.4
2018-12-08,Home,1,0,1.4,1.0
2018-12-15,Away,0,1,0.5,1.7
2018-12-22,Away,1,3,1.2,1.6
2018-12-26,Home,1,5,2.0,1.5
2018-12-30,Home,2,0,2.7,0.8
2019-01-02,Away,2,1,2.4,0.9
2019-01-12,Home,2,1,0.8,0.8
2019-01-19,Away,0,0,1.8,1.3
2019-01-29,Away,2,2,0.8,3.1
2019-02-02,Home,1,1,2.4,0.7
2019-02-09,Away,3,1,2.1,1.1
2019-02-23,Home,2,1,1.2,0.9
2019-02-26,Away,0,2,1.6,1.4
2019-03-02,Home,1,3,2.1,0.5
2019-03-10,Away,2,4,0.4,4.0
2019-03-16,Home,1,2,1.0,0.9
2019-03-30,Home,2,0,0.5,0.5
2019-04-06,Away,3,1,1.2,1.1
2019-04-13,Home,2,0,2.6,0.9
2019-04-22,Away,2,2,0.7,1.3
2019-04-28,Home,0,1,0.1,2.5
2019-05-03,Away,0,2,0.3,1.7
2019-05-12,Home,1,3,1.7,2.7
