match_date,Venue,GF,GA,xG,xGA
2018-08-12,Home,0,0,1.1,1.4
2018-08-18,Away,1,2,1.7,1.5
2018-08-25,Home,1,2,0.5,0.6
2018-09-01,Away,2,0,2.7,2.4
2018-09-17,Home,2,2,2.0,1.4
2018-09-22,Away,0,3,0.3,1.7
2018-09-29,Away,0,2,0.8,1.6
2018-10-07,Home,0,3,1.6,2.9
2018-10-20,Away,0,0,0.5,0.9
2018-10-27,Home,0,0,1.1,0.4
2018-11-04,Away,1,6,2.0,2.2
2018-11-10,Home,1,1,1.1,1.2
2018-11-24,Away,2,3,1.3,1.3
2018-12-01,Home,2,2,0.7,1.1
2018-12-05,Away,1,3,1.7,1.6
2018-12-08,Away,0,1,0.7,1.5
2018-12-16,Home,3,2,1.3,1.9
2018-12-22,Away,3,1,2.5,0.8
2018-12-27,Home,1,2,1.2,1.2
2018-12-30,Home,1,3,0.2,2.5
2019-01-02,Away,0,0,0.2,0.9
2019-01-12,Away,2,1,1.5,1.7
2019-01-19,Home,2,1,0.7,0.9
2019-01-30,Home,1,1,1.2,1.1
2019-02-02,Away,1,1,0.7,2.4
2019-02-09,Home,1,2,1.5,0.8
2019-02-24,Away,0,2,0.8,2.1
2019-02-27,Home,2,0,1.3,0.8
2019-03-02,Away,2,3,0.4,2.2
2019-03-09,Home,2,1,2.1,1.3
2019-03-30,Away,1,0,0.7,0.7
2019-04-05,Home,1,3,0.9,1.9
2019-04-13,Home,3,1,2.9,0.8
2019-04-20,Away,1,3,1.2,1.4
2019-04-23,Away,1,1,2.0,1.3
2019-04-27,Home,3,3,2.5,2.3
2019-05-04,Away,0,3,0.5,1.9
2019-05-12,Home,1,1,0.6,0.7
