match_date,Venue,GF,GA,xG,xGA
2018-08-11,Home,1,2,1.0,2.0
2018-08-18,Away,0,0,1.6,0.9
2018-08-26,Home,1,2,0.2,1.5
2018-09-01,Away,1,2,0.5,2.0
2018-09-15,Home,1,2,0.4,1.0
2018-09-22,Away,0,0,0.2,0.9
2018-09-29,Home,0,2,0.4,1.3
2018-10-06,Away,2,3,1.6,1.9
2018-10-20,Home,0,1,1.8,0.8
2018-10-27,Away,0,0,0.4,1.1
2018-11-03,Home,1,0,0.5,2.0
2018-11-10,Home,2,1,2.2,1.6
2018-11-26,Away,2,1,1.6,1.8
2018-12-01,Home,0,3,1.0,2.5
2018-12-05,Away,1,1,1.5,1.8
2018-12-09,Home,1,2,0.6,1.8
2018-12-15,Away,1,0,0.6,0.8
2018-12-22,Home,0,0,0.4,0.2
2018-12-26,Away,0,4,0.5,2.9
2018-12-29,Away,1,1,0.7,1.3
2019-01-02,Home,0,2,0.7,2.6
2019-01-12,Away,1,2,0.5,1.3
2019-01-19,Home,3,0,2.0,0.3
2019-01-29,Home,2,1,1.1,1.4
2019-02-02,Away,0,1,0.4,2.2
2019-02-11,Away,1,1,0.4,2.3
2019-02-23,Home,2,0,2.8,0.2
2019-02-26,Home,2,0,1.4,1.6
2019-03-02,Away,0,2,1.1,2.0
2019-03-09,Home,3,2,2.4,1.1
2019-03-16,Away,2,2,1.1,1.3
2019-04-01,Away,0,2,0.1,0.8
2019-04-06,Home,0,1,0.9,0.9
2019-04-12,Away,1,0,1.1,1.0
2019-04-20,Home,3,1,1.4,1.2
2019-04-27,Away,1,1,0.4,1.3
2019-05-04,Home,2,3,1.4,1.2
2019-05-12,Away,4,0,2.1,0.7
