match_date,Venue,GF,GA,xG,xGA
2018-08-10,Away,1,2,1.8,1.5
2018-08-18,Home,2,0,0.2,1.1
2018-08-25,Away,2,1,0.6,0.5
2018-09-01,Home,1,2,1.0,1.0
2018-09-15,Away,2,4,2.3,2.3
2018-09-22,Home,3,1,1.7,0.7
2018-09-29,Away,2,0,1.3,0.4
2018-10-06,Home,1,2,0.9,1.3
2018-10-22,Away,1,3,0.5,2.7
2018-10-27,Home,1,1,1.7,1.4
2018-11-03,Away,1,0,2.1,0.9
2018-11-10,Home,0,0,1.8,0.4
2018-11-24,Away,1,1,1.2,1.0
2018-12-01,Home,2,0,1.3,1.2
2018-12-05,Away,1,1,1.2,1.4
2018-12-08,Home,0,2,0.4,0.9
2018-12-15,Away,0,1,1.0,0.5
2018-12-22,Away,1,0,0.5,2.4
2018-12-26,Home,2,1,1.3,1.4
2018-12-29,Home,0,1,1.8,0.6
2019-01-01,Away,1,0,0.6,1.0
2019-01-12,Home,1,2,1.7,1.5
2019-01-19,Away,3,4,1.9,1.9
2019-01-30,Away,1,1,1.1,0.6
2019-02-03,Home,0,1,1.5,1.3
2019-02-10,Away,1,3,3.3,1.1
2019-02-23,Home,1,4,1.2,1.7
2019-02-26,Home,2,1,1.8,1.2
2019-03-03,Away,1,2,0.9,0.8
2019-03-09,Home,3,1,2.0,0.2
2019-03-16,Away,2,1,0.9,1.0
2019-03-30,Home,2,0,1.3,0.8
2019-04-06,Away,4,1,3.5,1.7
2019-04-12,Home,0,1,1.0,1.1
2019-04-20,Away,2,2,0.9,1.2
2019-04-28,Home,3,0,3.3,0.6
2019-05-06,Away,0,1,0.5,1.0
2019-05-12,Home,0,0,0.4,1.5
