match_date,Venue,GF,GA,xG,xGA
2018-08-12,Away,2,0,1.7,0.5
2018-08-19,Home,6,1,4.2,0.7
2018-08-25,Away,1,1,1.6,1.0
2018-09-01,Home,2,1,2.0,0.5
2018-09-15,Home,3,0,4.8,0.4
2018-09-22,Away,5,0,2.5,0.1
2018-09-29,Home,2,0,2.7,0.2
2018-10-07,Away,0,0,1.0,0.4
2018-10-20,Home,5,0,4.0,0.4
2018-10-29,Away,1,0,1.6,0.4
2018-11-04,Home,6,1,2.2,2.0
2018-11-11,Home,3,1,1.9,1.1
2018-11-24,Away,4,0,2.7,0.9
2018-12-01,Home,3,1,2.6,0.6
2018-12-04,Away,2,1,2.5,1.8
2018-12-08,Away,0,2,0.9,0.6
2018-12-15,Home,3,1,1.7,1.5
2018-12-22,Home,2,3,1.5,0.9
2018-12-26,Away,1,2,1.4,1.3
2018-12-30,Away,3,1,2.5,0.2
2019-01-03,Home,2,1,1.1,1.5
2019-01-14,Home,3,0,2.8,0.1
2019-01-20,Away,3,0,2.0,0.9
2019-01-29,Away,1,2,1.4,1.1
2019-02-03,Home,3,1,2.7,0.7
2019-02-06,Away,2,0,2.2,0.1
2019-02-10,Home,6,0,3.0,0.9
2019-02-27,Home,1,0,3.5,0.4
2019-03-02,Away,1,0,1.2,0.0
2019-03-09,Home,3,1,3.4,0.2
2019-03-30,Away,2,0,1.8,0.5
2019-04-03,Home,2,0,3.2,0.1
2019-04-14,Away,3,1,2.5,0.4
2019-04-20,Home,1,0,1.9,1.0
2019-04-24,Away,2,0,0.5,0.5
2019-04-28,Away,1,0,2.5,0.1
2019-05-06,Home,1,0,1.0,0.5
2019-05-12,Away,4,1,1.6,0.5
