match_date,Venue,GF,GA,xG,xGA
2018-08-12,Away,0,4,0.7,4.0
2018-08-18,Home,1,2,1.2,1.3
2018-08-25,Away,1,3,1.1,1.8
2018-09-01,Home,0,1,1.1,1.0
2018-09-16,Away,3,1,1.2,1.4
2018-09-23,Home,0,0,1.0,1.5
2018-09-29,Home,3,1,1.4,0.7
2018-10-05,Away,0,1,1.4,1.2
2018-10-20,Home,0,1,0.8,0.9
2018-10-27,Away,1,1,1.4,1.7
2018-11-03,Home,4,2,2.4,1.1
2018-11-10,Away,1,1,1.7,1.1
2018-11-24,Home,0,4,0.9,2.7
2018-12-01,Away,3,0,2.5,1.0
2018-12-04,Home,3,1,1.7,2.1
2018-12-08,Home,3,2,1.2,0.7
2018-12-15,Away,2,0,0.8,1.3
2018-12-22,Home,0,2,2.0,2.3
2018-12-27,Away,2,1,1.2,1.2
2018-12-30,Away,0,2,0.8,2.7
2019-01-02,Home,2,2,0.8,0.7
2019-01-12,Home,1,0,0.6,0.7
2019-01-19,Away,0,2,1.1,1.1
2019-01-29,Away,0,3,0.2,2.2
2019-02-04,Home,1,1,0.8,1.1
2019-02-09,Away,1,1,1.7,2.6
2019-02-22,Home,3,1,2.4,1.3
2019-02-27,Away,0,1,0.4,3.5
2019-03-02,Home,2,0,2.0,1.1
2019-03-09,Away,0,2,0.3,3.5
2019-03-16,Home,4,3,1.7,1.0
2019-03-30,Home,0,2,0.1,1.8
2019-04-08,Away,0,2,0.6,1.9
2019-04-13,Away,1,2,1.4,2.5
2019-04-20,Home,2,2,1.2,0.9
2019-04-27,Away,1,0,1.1,1.6
2019-05-04,Home,3,0,1.9,0.5
2019-05-12,Away,4,1,3.1,2.2
