match_date,Venue,GF,GA,xG,xGA
2018-08-12,Home,4,0,4.0,0.7
2018-08-20,Away,2,0,2.6,0.4
2018-08-25,Home,1,0,1.6,0.6
2018-09-01,Away,2,1,1.0,1.0
2018-09-15,Away,2,1,2.6,1.0
2018-09-22,Home,3,0,1.7,0.3
2018-09-29,Away,1,1,1.6,1.1
2018-10-07,Home,0,0,0.4,1.0
2018-10-20,Away,1,0,0.6,0.7
2018-10-27,Home,4,1,2.4,0.8
2018-11-03,Away,1,1,1.3,1.4
2018-11-11,Home,2,0,1.8,0.5
2018-11-24,Away,3,0,1.2,0.4
2018-12-02,Home,1,0,2.9,1.1
2018-12-05,Away,3,1,2.4,0.9
2018-12-08,Away,4,0,1.6,0.3
2018-12-16,Home,3,1,2.5,0.7
2018-12-21,Away,2,0,1.9,0.9
2018-12-26,Home,4,0,2.9,0.5
2018-12-29,Home,5,1,3.8,1.0
2019-01-03,Away,1,2,1.5,1.1
2019-01-12,Away,1,0,2.0,0.4
2019-01-19,Home,4,3,2.6,0.7
2019-01-30,Home,1,1,0.6,1.1
2019-02-04,Away,1,1,1.1,0.8
2019-02-09,Home,3,0,2.0,0.4
2019-02-24,Away,0,0,0.5,0.3
2019-02-27,Home,5,0,1.9,0.3
2019-03-03,Away,0,0,1.1,0.3
2019-03-10,Home,4,2,4.0,0.4
2019-03-17,Away,2,1,2.6,1.1
2019-03-31,Home,2,1,1.0,0.7
2019-04-05,Away,3,1,1.9,0.9
2019-04-14,Home,2,0,1.2,0.7
2019-04-21,Away,2,0,3.0,1.1
2019-04-26,Home,5,0,3.1,0.2
2019-05-04,Away,3,2,1.2,1.4
2019-05-12,Home,2,0,1.6,1.3
