element,name,position,was_home,played,minutes_per_gameweek,prev_game_minutes_1,prev_game_minutes_2,prev_game_minutes_3,prev_game_minutes_4,prev_game_minutes_5,minutes_form,points_per_game,form,ict_per_game,ict_form,opp_team_goals_scored_per_game,opp_team_xG_per_game,opp_team_goals_conceded_per_game,opp_team_xGA_per_game
610,Calvin Bassey,DEF,0,0,54.96875,90.0,90.0,90.0,90.0,90.0,90.0,2.1739130434782608,2.2,1.965217391304348,2.3,1.625,1.409375,1.75,1.8031249999999999
33,Cameron Archer,FWD,0,0,46.83870967741935,3.0,0.0,0.0,0.0,0.0,1.0,3.0434782608695654,0.8,3.3130434782608695,0.6,1.40625,1.5750000000000002,1.8125,1.5125
786,Cameron Peupion,MID,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.990625,2.09375,1.75625
301,Caoimhin Kelleher,GKP,1,0,29.032258064516128,90.0,90.0,90.0,90.0,90.0,90.0,3.4,3.8,2.7,3.0599999999999996,1.1612903225806452,1.1483870967741938,1.7419354838709677,1.4129032258064516
690,Carlos Baleba,MID,0,0,36.67857142857143,90.0,90.0,90.0,90.0,77.0,90.0,1.25,2.0,1.5550000000000002,2.3,1.0,0.990625,2.09375,1.75625
376,Carlos Henrique Casimiro,MID,0,0,43.58064516129032,90.0,74.0,10.0,90.0,90.0,58.0,2.3333333333333335,2.4,4.633333333333334,4.5,1.4516129032258065,1.4645161290322577,1.7741935483870968,1.535483870967742
325,Carlos Mendes Gomes,MID,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2903225806451615,2.029032258064516,1.0,0.964516129032258
287,Carlos Vinicius Alves Morais,FWD,0,0,9.5625,0.0,0.0,0.0,0.0,0.0,0.0,1.6923076923076923,0.0,2.169230769230769,0.0,1.625,1.409375,1.75,1.8031249999999999
326,Carlton Morris,FWD,0,0,72.46875,90.0,90.0,90.0,90.0,90.0,90.0,3.96875,3.2,4.534375,4.880000000000001,2.2903225806451615,2.029032258064516,1.0,0.964516129032258
196,Carney Chukwuemeka,MID,1,0,6.8,16.0,19.0,0.0,1.0,0.0,11.666666666666666,1.875,0.6,2.4375,0.8,1.032258064516129,1.464516129032258,1.3548387096774193,1.4193548387096775
340,Cauley Woodrow,FWD,0,0,9.8125,10.0,15.0,7.0,45.0,17.0,10.666666666666666,1.4736842105263157,1.6,1.3631578947368421,1.26,2.2903225806451615,2.029032258064516,1.0,0.964516129032258
2,Cedric Alves Soares,DEF,1,0,1.903225806451613,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.2,0.19999999999999998,0.06,2.0625,1.71875,1.53125,1.509375
189,Cesar Azpilicueta,DEF,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032258064516129,1.464516129032258,1.3548387096774193,1.4193548387096775
791,Cesare Casadei,MID,1,0,2.0,1.0,0.0,0.0,4.0,0.0,0.3333333333333333,1.0,0.4,0.55,0.06,1.032258064516129,1.464516129032258,1.3548387096774193,1.4193548387096775
735,Charles Sagoe,MID,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0625,1.71875,1.53125,1.509375
102,Charlie Goode,DEF,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967741935483871,0.9451612903225806,2.6451612903225805,1.954838709677419
178,Charlie Taylor,DEF,1,0,63.4375,83.0,90.0,45.0,90.0,90.0,72.66666666666667,1.7916666666666667,1.4,2.6333333333333333,2.84,1.6451612903225807,1.525806451612903,1.5806451612903225,1.4709677419354839
223,Cheick Doucoure,MID,0,0,29.677419354838708,0.0,0.0,0.0,0.0,0.0,0.0,1.9090909090909092,0.0,3.1090909090909093,0.0,2.3225806451612905,2.283870967741935,0.967741935483871,1.170967741935484
451,Cheikhou Kouyate,MID,1,0,6.375,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.2,0.6454545454545454,0.02,1.4193548387096775,1.3451612903225802,1.5806451612903225,1.6548387096774195
328,Chiedozie Ogbene,FWD,0,0,59.21875,0.0,0.0,0.0,90.0,87.0,0.0,2.6785714285714284,1.4,4.339285714285714,2.28,2.2903225806451615,2.029032258064516,1.0,0.964516129032258
474,Chris Basham,DEF,0,0,10.193548387096774,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.175,0.0,1.40625,1.5750000000000002,1.8125,1.5125
75,Chris Mepham,DEF,1,0,19.774193548387096,0.0,0.0,90.0,90.0,90.0,30.0,1.6,1.2,2.1,2.18,1.4516129032258065,1.4870967741935486,1.4838709677419355,1.8483870967741938
238,Chris Richards,DEF,0,0,50.03225806451613,0.0,0.0,90.0,90.0,90.0,30.0,1.75,1.0,2.19,1.2399999999999998,2.3225806451612905,2.283870967741935,0.967741935483871,1.170967741935484
468,Chris Wood,FWD,1,0,39.8125,67.0,90.0,90.0,74.0,90.0,82.33333333333333,4.32,6.6,5.232,7.600000000000001,1.4193548387096775,1.3451612903225802,1.5806451612903225,1.6548387096774195
844,Christian Chigozie,DEF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2903225806451615,2.029032258064516,1.0,0.964516129032258
379,Christian Eriksen,MID,0,0,28.451612903225808,0.0,0.0,0.0,0.0,0.0,0.0,2.1875,0.0,3.475,0.0,1.4516129032258065,1.4645161290322577,1.7741935483870968,1.535483870967742
110,Christian Norgaard,MID,1,0,67.96875,0.0,0.0,0.0,0.0,33.0,0.0,2.423076923076923,0.2,4.188461538461539,0.4,0.967741935483871,0.9451612903225806,2.6451612903225805,1.954838709677419
213,Christian Pulisic,MID,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032258064516129,1.464516129032258,1.3548387096774193,1.4193548387096775
212,Christopher Nkunku,FWD,1,0,10.566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,0.0,4.357142857142857,0.0,1.032258064516129,1.464516129032258,1.3548387096774193,1.4193548387096775
699,Clement Lenglet,DEF,0,0,36.6551724137931,0.0,90.0,0.0,45.0,57.0,30.0,1.9230769230769231,0.2,2.9538461538461536,1.8599999999999999,2.4193548387096775,1.9838709677419353,0.7741935483870968,0.6838709677419356
297,Cody Gakpo,FWD,1,0,38.38709677419355,22.0,17.0,1.0,14.0,83.0,13.333333333333334,2.689655172413793,2.4,3.6448275862068966,2.68,1.1612903225806452,1.1483870967741938,1.7419354838709677,1.4129032258064516
362,Cole Palmer,MID,1,0,66.73333333333333,73.0,90.0,90.0,85.0,90.0,84.33333333333333,6.7407407407407405,11.6,9.051851851851852,17.139999999999997,1.032258064516129,1.464516129032258,1.3548387096774193,1.4193548387096775
176,Connor Roberts,DEF,1,0,25.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,1.7642857142857142,0.0,1.6451612903225807,1.525806451612903,1.5806451612903225,1.4709677419354839
