match_date,Venue,GF,GA,xG,xGA
2021-08-15,Away,4,2,2.7,1.8
2021-08-23,Home,4,1,2.3,0.6
2021-08-28,Home,2,2,1.3,1.1
2021-09-11,Away,0,0,0.7,0.7
2021-09-19,Home,1,2,1.6,2.0
2021-09-25,Away,2,1,1.6,1.2
2021-10-03,Home,1,2,1.5,1.2
2021-10-17,Away,1,0,1.2,0.9
2021-10-24,Home,1,0,1.3,0.7
2021-10-31,Away,4,1,2.3,0.7
2021-11-07,Home,3,2,1.0,1.2
2021-11-20,Away,0,1,0.4,1.4
2021-11-28,Away,1,2,0.2,2.1
2021-12-01,Home,1,1,1.3,1.3
2021-12-04,Home,3,2,1.8,1.1
2021-12-12,Away,0,0,0.8,0.8
2021-12-15,Away,0,2,0.4,2.8
2021-12-26,Home,2,3,1.6,1.2
2021-12-28,Away,4,1,3.6,1.6
2022-01-01,Away,3,2,2.2,2.4
2022-01-12,Home,2,0,2.5,0.3
2022-01-16,Home,2,3,2.4,2.2
2022-01-22,Away,0,1,0.3,1.9
2022-02-08,Home,1,0,0.8,0.3
2022-02-13,Away,2,2,1.1,1.4
2022-02-19,Home,1,1,0.6,0.8
2022-02-27,Home,1,0,1.8,0.7
2022-03-05,Away,0,1,1.3,2.4
2022-03-13,Home,2,1,1.2,1.1
2022-03-20,Away,1,3,0.6,3.0
2022-04-03,Home,2,1,1.2,0.7
2022-04-10,Away,0,2,0.3,1.4
2022-04-17,Home,1,1,2.2,1.8
2022-04-24,Away,0,1,0.5,3.0
2022-05-01,Home,1,2,0.5,0.9
2022-05-08,Away,4,0,3.0,0.8
2022-05-15,Home,2,2,1.1,2.4
2022-05-22,Away,1,3,0.2,1.6
