match_date,Venue,GF,GA,xG,xGA
2021-08-14,Home,3,2,1.2,1.2
2021-08-21,Away,0,2,0.5,1.3
2021-08-29,Away,0,1,0.8,1.0
2021-09-11,Home,0,2,0.2,2.2
2021-09-18,Away,3,1,2.4,1.0
2021-09-25,Home,1,1,0.9,1.9
2021-10-02,Away,0,1,0.2,1.3
2021-10-16,Home,0,5,0.5,3.3
2021-10-23,Away,5,2,3.7,1.5
2021-10-30,Home,0,1,1.0,1.8
2021-11-07,Away,0,1,0.5,1.6
2021-11-20,Home,4,1,2.7,1.4
2021-11-28,Away,2,4,2.8,2.1
2021-12-01,Home,1,2,1.0,0.9
2021-12-04,Home,1,3,0.8,3.1
2021-12-10,Away,1,2,0.5,1.6
2021-12-28,Home,1,4,1.6,3.6
2022-01-01,Home,0,1,0.3,2.2
2022-01-15,Away,1,1,1.4,1.2
2022-01-21,Home,0,3,1.2,1.1
2022-02-05,Away,0,0,0.8,0.6
2022-02-08,Away,0,1,0.3,0.8
2022-02-12,Home,0,2,0.5,1.6
2022-02-19,Away,1,0,1.2,1.3
2022-02-23,Home,1,4,1.4,1.1
2022-02-26,Away,0,0,0.6,2.8
2022-03-06,Home,2,3,1.0,1.0
2022-03-10,Away,0,4,0.6,0.7
2022-03-13,Away,2,1,1.7,1.4
2022-04-02,Away,0,2,0.6,2.2
2022-04-09,Home,0,3,1.1,0.7
2022-04-16,Home,1,2,1.7,1.9
2022-04-23,Away,1,5,0.5,3.6
2022-04-30,Home,1,2,1.0,1.6
2022-05-07,Away,0,1,0.4,2.2
2022-05-11,Home,0,0,0.3,0.7
2022-05-15,Home,1,5,1.4,2.5
2022-05-22,Away,1,2,0.6,2.2
