match_date,Venue,GF,GA,xG,xGA
2021-08-14,Away,2,3,1.2,1.2
2021-08-21,Home,2,0,1.2,0.7
2021-08-28,Home,1,1,0.7,0.9
2021-09-11,Away,0,3,1.2,1.3
2021-09-18,Home,3,0,0.8,0.7
2021-09-25,Away,1,0,1.0,2.2
2021-10-03,Away,1,2,1.2,1.3
2021-10-16,Home,2,3,1.0,2.0
2021-10-22,Away,1,3,1.4,2.7
2021-10-31,Home,1,4,0.7,2.3
2021-11-05,Away,0,1,0.6,0.6
2021-11-20,Home,2,0,0.7,0.4
2021-11-27,Away,2,1,0.5,1.0
2021-12-01,Home,1,2,0.8,1.0
2021-12-05,Home,2,1,2.1,1.1
2021-12-11,Away,0,1,0.2,2.2
2021-12-14,Away,2,0,2.0,0.5
2021-12-26,Home,1,3,0.4,2.6
2022-01-02,Away,1,2,0.8,0.6
2022-01-15,Home,2,2,1.9,1.0
2022-01-22,Away,1,0,0.8,1.6
2022-02-09,Home,3,3,1.6,1.8
2022-02-13,Away,0,1,0.6,0.5
2022-02-19,Home,0,1,1.3,1.2
2022-02-26,Away,2,0,1.0,0.7
2022-03-05,Home,4,0,2.5,1.1
2022-03-10,Away,3,0,1.5,0.2
2022-03-13,Away,1,2,1.1,1.2
2022-03-19,Home,0,1,0.5,1.3
2022-04-02,Away,1,2,2.1,1.3
2022-04-09,Home,0,4,1.6,1.1
2022-04-23,Away,0,0,0.9,0.3
2022-04-30,Home,2,0,1.8,0.5
2022-05-07,Away,3,1,2.1,1.9
2022-05-10,Home,1,2,1.4,1.8
2022-05-15,Home,1,1,1.0,1.4
2022-05-19,Home,1,1,1.5,1.6
2022-05-22,Away,2,3,0.2,3.4
