match_date,Venue,GF,GA,xG,xGA
2021-08-14,Home,1,0,0.5,1.3
2021-08-23,Away,1,4,0.6,2.3
2021-08-28,Away,2,1,1.5,1.5
2021-09-11,Home,0,1,0.6,2.8
2021-09-19,Away,1,2,1.6,1.7
2021-09-25,Home,2,2,2.4,0.5
2021-10-03,Away,2,2,1.2,1.5
2021-10-16,Home,4,2,2.4,1.2
2021-10-24,Away,2,1,1.5,1.0
2021-10-30,Home,0,2,1.3,0.7
2021-11-07,Away,1,1,0.7,1.3
2021-11-20,Home,0,3,0.4,2.0
2021-11-28,Home,4,2,2.1,2.8
2021-12-01,Away,2,2,1.5,1.5
2021-12-05,Away,1,2,1.1,2.1
2021-12-12,Home,4,0,2.6,1.0
2021-12-26,Away,3,6,2.7,3.6
2021-12-28,Home,1,0,0.4,2.3
2022-01-19,Home,2,3,1.2,3.1
2022-01-23,Home,1,1,1.4,1.1
2022-02-10,Away,0,2,0.5,1.8
2022-02-13,Home,2,2,1.4,1.1
2022-02-20,Away,1,2,1.7,0.5
2022-03-01,Away,2,0,1.5,0.9
2022-03-05,Home,1,0,0.4,1.7
2022-03-13,Away,0,2,0.4,2.4
2022-03-20,Home,2,1,1.0,1.3
2022-04-02,Away,1,1,0.8,0.9
2022-04-10,Home,2,1,1.0,1.4
2022-04-17,Away,1,2,0.6,1.8
2022-04-20,Away,1,1,0.9,1.8
2022-04-23,Home,0,0,0.3,0.9
2022-05-01,Away,1,3,0.5,1.2
2022-05-08,Home,1,2,1.5,1.1
2022-05-11,Home,3,0,2.0,1.1
2022-05-15,Away,5,1,2.5,1.4
2022-05-19,Away,1,1,0.1,1.6
2022-05-22,Home,4,1,3.4,1.1
