match_date,Venue,GF,GA,xG,xGA
2021-08-14,Home,1,2,1.5,1.0
2021-08-21,Away,0,2,0.9,2.7
2021-08-29,Home,1,1,1.0,1.2
2021-09-13,Away,1,3,1.0,1.4
2021-09-18,Home,0,1,1.0,1.1
2021-09-25,Away,2,2,0.5,2.4
2021-10-02,Home,0,0,1.2,0.6
2021-10-16,Away,0,2,0.9,2.1
2021-10-23,Away,2,2,0.7,1.6
2021-10-30,Home,3,1,2.3,0.8
2021-11-06,Away,1,1,0.7,1.8
2021-11-20,Home,3,3,1.5,1.9
2021-12-01,Away,0,0,0.2,0.7
2021-12-04,Away,0,1,0.6,1.0
2021-12-12,Home,0,0,0.8,0.8
2021-12-30,Away,1,3,1.1,2.4
2022-01-02,Away,1,3,1.0,1.9
2022-01-23,Away,0,0,0.4,1.2
2022-02-05,Home,0,0,0.6,0.8
2022-02-08,Home,1,1,0.4,1.8
2022-02-13,Home,0,1,1.5,1.7
2022-02-19,Away,3,0,0.7,0.6
2022-02-23,Home,1,0,0.9,0.7
2022-02-26,Away,1,1,0.2,1.0
2022-03-01,Home,0,2,0.9,1.5
2022-03-05,Home,0,4,0.7,2.3
2022-03-12,Away,0,2,0.7,1.9
2022-04-02,Home,0,2,0.1,1.8
2022-04-06,Home,3,2,2.0,2.4
2022-04-10,Away,0,2,1.7,1.7
2022-04-17,Away,1,1,1.8,2.2
2022-04-21,Home,2,0,1.5,0.9
2022-04-24,Home,1,0,1.4,0.6
2022-04-30,Away,2,1,1.6,1.0
2022-05-07,Home,1,3,1.9,2.1
2022-05-15,Away,0,1,0.7,2.2
2022-05-19,Away,1,1,1.6,1.5
2022-05-22,Home,1,2,1.6,1.8
