match_date,Venue,GF,GA,xG,xGA
2021-08-14,Home,0,3,1.4,1.6
2021-08-21,Away,0,5,0.1,2.6
2021-08-28,Home,1,2,1.5,1.5
2021-09-11,Away,0,1,0.7,2.7
2021-09-18,Home,1,3,1.0,2.4
2021-09-25,Away,0,2,0.5,1.9
2021-10-02,Away,0,0,0.6,1.2
2021-10-16,Home,0,0,1.2,0.8
2021-10-23,Away,0,7,0.1,3.1
2021-10-31,Home,1,2,0.8,0.7
2021-11-06,Away,2,1,1.2,2.5
2021-11-20,Home,2,1,0.5,1.0
2021-11-27,Home,0,0,1.6,0.3
2021-11-30,Away,1,1,1.2,1.1
2021-12-05,Away,0,3,1.2,1.6
2021-12-11,Home,0,1,1.2,2.0
2021-12-14,Home,0,2,0.5,2.0
2021-12-26,Home,0,5,0.1,2.5
2021-12-28,Away,0,3,0.9,1.9
2022-01-12,Away,0,2,0.3,2.5
2022-01-15,Home,2,1,1.0,0.6
2022-01-21,Away,3,0,1.1,1.2
2022-02-09,Home,1,1,0.4,1.3
2022-02-12,Home,0,4,0.4,4.6
2022-02-19,Away,1,3,0.6,3.6
2022-02-25,Away,0,2,0.6,2.6
2022-03-05,Home,1,3,1.0,2.0
2022-03-10,Home,1,3,1.0,1.8
2022-03-13,Away,1,2,1.5,2.5
2022-04-02,Away,0,0,0.4,2.8
2022-04-10,Home,2,0,1.7,1.7
2022-04-16,Away,2,3,1.5,1.9
2022-04-23,Home,0,3,0.6,1.9
2022-04-30,Away,0,2,0.5,1.8
2022-05-08,Home,0,4,0.8,3.0
2022-05-11,Away,0,3,1.1,2.0
2022-05-15,Away,1,1,1.1,0.9
2022-05-22,Home,0,5,0.5,3.4
