match_date,Venue,GF,GA,xG,xGA
2021-08-13,Away,0,2,1.3,1.2
2021-08-22,Home,0,2,0.3,3.1
2021-08-28,Away,0,5,0.2,4.4
2021-09-11,Home,1,0,2.7,0.7
2021-09-18,Away,1,0,1.1,1.0
2021-09-26,Home,3,1,1.1,1.0
2021-10-02,Away,0,0,0.4,1.1
2021-10-18,Home,2,2,1.7,0.7
2021-10-22,Home,3,1,2.7,1.4
2021-10-30,Away,2,0,0.7,1.3
2021-11-07,Home,1,0,1.6,0.5
2021-11-20,Away,0,4,0.4,4.3
2021-11-27,Home,2,0,2.5,0.3
2021-12-02,Away,2,3,1.4,1.9
2021-12-06,Away,1,2,1.0,0.9
2021-12-11,Home,3,0,1.8,0.6
2021-12-15,Home,2,0,2.8,0.4
2021-12-18,Away,4,1,3.5,1.6
2021-12-26,Away,5,0,2.5,0.1
2022-01-01,Home,1,2,0.8,2.0
2022-01-23,Home,0,0,1.2,0.4
2022-02-10,Away,1,0,1.8,0.8
2022-02-19,Home,2,1,1.7,0.6
2022-02-24,Home,2,1,3.1,1.0
2022-03-06,Away,3,2,1.0,1.0
2022-03-13,Home,2,0,2.4,0.4
2022-03-16,Home,0,2,0.5,0.8
2022-03-19,Away,1,0,1.3,0.5
2022-04-04,Away,0,3,0.8,1.5
2022-04-09,Home,1,2,1.9,0.6
2022-04-16,Away,0,1,1.7,0.8
2022-04-20,Away,4,2,2.0,0.7
2022-04-23,Home,3,1,2.3,1.8
2022-05-01,Away,2,1,0.9,0.5
2022-05-08,Home,2,1,2.0,0.3
2022-05-12,Away,0,3,0.5,2.7
2022-05-16,Away,0,2,0.6,1.6
2022-05-22,Home,5,1,4.2,1.1
