match_date,Venue,GF,GA,xG,xGA
2021-08-15,Home,2,4,1.8,2.7
2021-08-21,Away,0,2,0.7,1.2
2021-08-28,Home,2,2,1.0,3.6
2021-09-11,Away,1,4,0.4,2.5
2021-09-17,Home,1,1,1.3,1.5
2021-09-25,Away,1,1,1.9,0.9
2021-10-02,Away,1,2,0.6,1.0
2021-10-17,Home,2,3,0.4,1.7
2021-10-23,Away,1,1,0.3,1.9
2021-10-30,Home,0,3,0.2,2.2
2021-11-06,Away,1,1,0.3,1.5
2021-11-20,Home,3,3,1.5,0.9
2021-11-27,Away,0,2,0.3,2.5
2021-11-30,Home,1,1,1.1,1.2
2021-12-04,Home,1,0,1.0,0.6
2021-12-12,Away,0,4,1.0,2.6
2021-12-16,Away,1,3,0.3,2.7
2021-12-19,Home,0,4,0.3,2.9
2021-12-27,Home,1,1,1.3,1.6
2022-01-15,Home,1,1,1.2,1.4
2022-01-22,Away,1,0,0.9,0.7
2022-02-08,Home,3,1,1.9,0.7
2022-02-13,Home,1,0,0.5,0.6
2022-02-19,Away,1,1,0.8,0.6
2022-02-26,Away,2,0,2.7,0.4
2022-03-05,Home,2,1,1.7,1.5
2022-03-10,Away,2,1,0.6,1.1
2022-03-13,Away,0,1,0.3,1.1
2022-03-17,Away,0,1,0.9,0.7
2022-04-03,Away,1,5,0.5,3.1
2022-04-08,Home,1,0,1.5,0.4
2022-04-17,Home,2,1,1.8,0.6
2022-04-20,Home,1,0,0.9,0.5
2022-04-23,Away,3,0,1.9,0.6
2022-04-30,Home,0,1,0.2,2.3
2022-05-08,Away,0,5,0.8,3.1
2022-05-16,Home,2,0,1.6,0.6
2022-05-22,Away,2,1,1.8,1.6
