match_date,Venue,GF,GA,xG,xGA
2021-08-14,Away,1,3,0.8,2.4
2021-08-22,Home,1,1,0.7,1.8
2021-08-28,Away,2,2,3.6,1.0
2021-09-11,Home,0,0,0.7,0.7
2021-09-18,Away,0,0,0.4,1.0
2021-09-26,Home,0,1,1.0,1.0
2021-10-02,Away,1,3,1.3,3.3
2021-10-16,Home,1,0,1.9,0.2
2021-10-23,Home,2,2,1.6,0.7
2021-10-30,Away,1,0,1.8,1.0
2021-11-05,Home,1,0,0.6,0.6
2021-11-20,Away,1,2,1.0,0.5
2021-11-27,Away,0,4,1.0,2.9
2021-12-01,Home,2,2,1.5,1.5
2021-12-04,Home,1,1,1.6,1.6
2021-12-11,Away,0,3,0.6,1.8
2021-12-15,Away,2,2,0.6,1.2
2021-12-26,Away,3,2,1.2,1.6
2021-12-28,Home,1,1,0.4,2.3
2022-01-11,Home,4,1,1.4,0.5
2022-01-15,Away,1,3,0.8,2.5
2022-01-22,Home,1,1,0.8,1.8
2022-02-09,Away,3,2,2.2,1.4
2022-02-12,Away,1,1,0.8,2.1
2022-02-19,Home,2,0,2.5,0.3
2022-02-25,Home,2,0,2.6,0.6
2022-03-05,Away,0,4,1.1,2.5
2022-03-10,Home,1,2,1.1,0.6
2022-03-13,Home,1,2,1.4,1.7
2022-04-02,Away,1,1,1.4,1.2
2022-04-09,Home,0,6,0.5,4.2
2022-04-16,Home,1,0,0.8,1.7
2022-04-21,Away,0,2,0.9,1.5
2022-04-24,Away,2,2,0.9,1.7
2022-04-30,Home,1,2,0.6,1.1
2022-05-07,Away,0,3,1.4,2.6
2022-05-17,Home,1,2,0.1,1.3
2022-05-22,Away,1,4,1.1,3.4
